Record Kind	Original Reference	Target Type	Target Object	LaTeX Label	Command	Translation Location	Status
definition	Chapter 6	chapter	Finite Element Multigrid Methods	chap:ch06-finite-element-multigrid-methods	label	tex/sample-main.tex	defined
definition	Section 6.3	section	The Multigrid Algorithm	sec:ch06-multigrid-algorithm	label	translation/reviewed/sample.tex	defined
definition	Fig. 6.1	figure	Effect of smoothing step	fig:ch06-smoothing-effect	label	translation/reviewed/sample.tex	defined
definition	Definition 6.3.1	definition	Intergrid Transfer Operators	def:ch06-intergrid-transfer-operators	label	translation/reviewed/sample.tex	defined
definition	Equation 6.3.2	equation	Spectral-radius upper bound	eq:ch06-multigrid-spectral-radius-bound	label	translation/reviewed/sample.tex	defined
reference	Fig. 6.1	figure	Effect of smoothing step	fig:ch06-smoothing-effect	ref	translation/reviewed/sample.tex	resolved
reference	Theorem 6.5.7	theorem	Smoothing Property for the W-cycle Algorithm	thm:ch06-w-cycle-smoothing-property	MBUnresolvedReference	translation/reviewed/sample.tex	unavailable outside sample
reference	Equation 6.1.2	equation	Model Dirichlet problem	eq:ch06-model-dirichlet-problem	MBUnresolvedReference	translation/reviewed/sample.tex	unavailable outside sample
reference	Equation 6.1.1	equation	Model bilinear form	eq:ch06-model-bilinear-form	MBUnresolvedReference	translation/reviewed/sample.tex	unavailable outside sample
reference	Lemma 6.2.8	lemma	Spectral-radius bound	lem:ch06-spectral-radius-bound	MBUnresolvedReference	translation/reviewed/sample.tex	unavailable outside sample
reference	Equation 6.2.4	equation	Discrete problem	eq:ch06-discrete-problem	MBUnresolvedReference	translation/reviewed/sample.tex	unavailable outside sample
