Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		chapter	chap:t1-theorem	label	tex/chapters/chapter-09.tex:5	tex/chapters/chapter-09.tex:5	defined
target		section	sec:ch9-cotlar-lemma	label	tex/chapters/chapter-09/section-09-01.tex:3	tex/chapters/chapter-09/section-09-01.tex:3	defined
target		lemma	lem:ch9-cotlar	label	tex/chapters/chapter-09/section-09-01.tex:8	tex/chapters/chapter-09/section-09-01.tex:8	defined
target		example-or-exercise	ex:ch9-cotlar-hilbert-transform	label	tex/chapters/chapter-09/section-09-01.tex:84	tex/chapters/chapter-09/section-09-01.tex:84	defined
target		section	sec:ch9-carleson-measures	label	tex/chapters/chapter-09/section-09-02.tex:2	tex/chapters/chapter-09/section-09-02.tex:2	defined
target		definition	def:ch9-carleson-measure	label	tex/chapters/chapter-09/section-09-02.tex:5	tex/chapters/chapter-09/section-09-02.tex:5	defined
target		lemma	lem:ch9-carleson-open-set	label	tex/chapters/chapter-09/section-09-02.tex:22	tex/chapters/chapter-09/section-09-02.tex:22	defined
target		theorem	thm:ch9-carleson-convolution-characterization	label	tex/chapters/chapter-09/section-09-02.tex:57	tex/chapters/chapter-09/section-09-02.tex:57	defined
target		equation	eq:ch9-carleson-embedding	label	tex/chapters/chapter-09/section-09-02.tex:62	tex/chapters/chapter-09/section-09-02.tex:62	defined
target		equation	eq:ch9-carleson-layer-cake	label	tex/chapters/chapter-09/section-09-02.tex:86	tex/chapters/chapter-09/section-09-02.tex:86	defined
target		theorem	thm:ch9-bmo-carleson-measure	label	tex/chapters/chapter-09/section-09-02.tex:126	tex/chapters/chapter-09/section-09-02.tex:126	defined
target		corollary	cor:ch9-carleson-bmo-embedding	label	tex/chapters/chapter-09/section-09-02.tex:198	tex/chapters/chapter-09/section-09-02.tex:198	defined
target		section	sec:ch9-t1-statement-applications	label	tex/chapters/chapter-09/section-09-03.tex:2	tex/chapters/chapter-09/section-09-03.tex:2	defined
target		equation	eq:ch9-operator-associated-kernel	label	tex/chapters/chapter-09/section-09-03.tex:19	tex/chapters/chapter-09/section-09-03.tex:19	defined
target		equation	eq:ch9-t-on-bounded-smooth	label	tex/chapters/chapter-09/section-09-03.tex:60	tex/chapters/chapter-09/section-09-03.tex:60	defined
target		definition	def:ch9-weak-boundedness-property	label	tex/chapters/chapter-09/section-09-03.tex:76	tex/chapters/chapter-09/section-09-03.tex:76	defined
target		equation	eq:ch9-antisymmetric-kernel-operator	label	tex/chapters/chapter-09/section-09-03.tex:97	tex/chapters/chapter-09/section-09-03.tex:97	defined
target		theorem	thm:ch9-t1	label	tex/chapters/chapter-09/section-09-03.tex:124	tex/chapters/chapter-09/section-09-03.tex:124	defined
target		corollary	cor:ch9-antisymmetric-t1	label	tex/chapters/chapter-09/section-09-03.tex:140	tex/chapters/chapter-09/section-09-03.tex:140	defined
target		example-or-exercise	ex:ch9-calderon-commutators	label	tex/chapters/chapter-09/section-09-03.tex:147	tex/chapters/chapter-09/section-09-03.tex:147	defined
target		corollary	cor:ch9-calderon-commutator-bounds	label	tex/chapters/chapter-09/section-09-03.tex:162	tex/chapters/chapter-09/section-09-03.tex:162	defined
target		equation	eq:ch9-commutator-bmo-induction	label	tex/chapters/chapter-09/section-09-03.tex:177	tex/chapters/chapter-09/section-09-03.tex:177	defined
target		corollary	cor:ch9-small-lipschitz-cauchy	label	tex/chapters/chapter-09/section-09-03.tex:221	tex/chapters/chapter-09/section-09-03.tex:221	defined
target		section	sec:ch9-t1-proof	label	tex/chapters/chapter-09/section-09-04.tex:2	tex/chapters/chapter-09/section-09-04.tex:2	defined
target		lemma	lem:ch9-t1-finite-sum	label	tex/chapters/chapter-09/section-09-04.tex:16	tex/chapters/chapter-09/section-09-04.tex:16	defined
target		equation	eq:ch9-large-scale-vanishing	label	tex/chapters/chapter-09/section-09-04.tex:38	tex/chapters/chapter-09/section-09-04.tex:38	defined
target		lemma	lem:ch9-smoothed-kernel-estimates	label	tex/chapters/chapter-09/section-09-04.tex:91	tex/chapters/chapter-09/section-09-04.tex:91	defined
target		lemma	lem:ch9-almost-orthogonality	label	tex/chapters/chapter-09/section-09-04.tex:199	tex/chapters/chapter-09/section-09-04.tex:199	defined
target		equation	eq:ch9-almost-orthogonality-kernel	label	tex/chapters/chapter-09/section-09-04.tex:216	tex/chapters/chapter-09/section-09-04.tex:216	defined
target		lemma	lem:ch9-paraproduct-construction	label	tex/chapters/chapter-09/section-09-04.tex:263	tex/chapters/chapter-09/section-09-04.tex:263	defined
target		equation	eq:ch9-calderon-reproducing-formula	label	tex/chapters/chapter-09/section-09-04.tex:363	tex/chapters/chapter-09/section-09-04.tex:363	defined
target		section	sec:ch9-notes-further-results	label	tex/chapters/chapter-09/section-09-05.tex:2	tex/chapters/chapter-09/section-09-05.tex:2	defined
target		subsection	subsec:ch9-references	label	tex/chapters/chapter-09/section-09-05.tex:5	tex/chapters/chapter-09/section-09-05.tex:5	defined
target		subsection	subsec:ch9-calderon-cauchy	label	tex/chapters/chapter-09/section-09-05.tex:27	tex/chapters/chapter-09/section-09-05.tex:27	defined
target		subsection	subsec:ch9-bilinear-hilbert-transform	label	tex/chapters/chapter-09/section-09-05.tex:51	tex/chapters/chapter-09/section-09-05.tex:51	defined
target		theorem	thm:ch9-bilinear-hilbert-transform	label	tex/chapters/chapter-09/section-09-05.tex:67	tex/chapters/chapter-09/section-09-05.tex:67	defined
target		subsection	subsec:ch9-tb-theorem	label	tex/chapters/chapter-09/section-09-05.tex:85	tex/chapters/chapter-09/section-09-05.tex:85	defined
target		theorem	thm:ch9-tb	label	tex/chapters/chapter-09/section-09-05.tex:102	tex/chapters/chapter-09/section-09-05.tex:102	defined
reference	本章回到第~\ref{chap:singular-integrals-two}~章首先考虑的一个问题: 给定带相伴核 $K$ 的 Calderón--Zygmund 算子 $T$, $T$ 何时在 $L^2$ 上有界? 若 $T$ 是卷积算子, 问题归结为证明 $\widehat K\in L^\infty$. 对非卷积算子, 问题困难得多. 但在某些情形中, M. Cotlar 的下述结果很有用.	chapter	chap:singular-integrals-two	ref	tex/chapters/chapter-09/section-09-01.tex:5	tex/chapters/chapter-05.tex:5	resolved
