Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		unknown	app:twentieth-century-developments	label	tex/chapters/appendix-03.tex:5	tex/chapters/appendix-03.tex:5	defined
target		section	sec:app3-existence	label	tex/chapters/appendix-03.tex:47	tex/chapters/appendix-03.tex:47	defined
target		equation	eq:app3-particle-trajectory	label	tex/chapters/appendix-03.tex:64	tex/chapters/appendix-03.tex:64	defined
target		equation	eq:app3-general-nse	label	tex/chapters/appendix-03.tex:85	tex/chapters/appendix-03.tex:85	defined
target		equation	eq:app3-continuity	label	tex/chapters/appendix-03.tex:90	tex/chapters/appendix-03.tex:90	defined
target		equation	eq:app3-incompressibility	label	tex/chapters/appendix-03.tex:95	tex/chapters/appendix-03.tex:95	defined
target		equation	eq:app3-incompressible-nse-components	label	tex/chapters/appendix-03.tex:104	tex/chapters/appendix-03.tex:104	defined
target		equation	eq:app3-no-slip-boundary	label	tex/chapters/appendix-03.tex:126	tex/chapters/appendix-03.tex:126	defined
target		equation	eq:app3-periodic-boundary	label	tex/chapters/appendix-03.tex:133	tex/chapters/appendix-03.tex:133	defined
target		equation	eq:app3-initial-velocity	label	tex/chapters/appendix-03.tex:158	tex/chapters/appendix-03.tex:158	defined
target		equation	eq:app3-pressure-poisson	label	tex/chapters/appendix-03.tex:166	tex/chapters/appendix-03.tex:166	defined
target		equation	eq:app3-pressure-neumann	label	tex/chapters/appendix-03.tex:174	tex/chapters/appendix-03.tex:174	defined
target		equation	eq:app3-stokes-problem	label	tex/chapters/appendix-03.tex:219	tex/chapters/appendix-03.tex:219	defined
target		equation	eq:app3-gradient-distribution-characterization	label	tex/chapters/appendix-03.tex:244	tex/chapters/appendix-03.tex:244	defined
target		equation	eq:app3-weak-nse	label	tex/chapters/appendix-03.tex:256	tex/chapters/appendix-03.tex:256	defined
target		remark	rem:app3-classical-l2-theory	label	tex/chapters/appendix-03.tex:279	tex/chapters/appendix-03.tex:279	defined
target		remark	rem:app3-singularity-physical-scale	label	tex/chapters/appendix-03.tex:308	tex/chapters/appendix-03.tex:308	defined
target		equation	eq:app3-singular-self-similar	label	tex/chapters/appendix-03.tex:354	tex/chapters/appendix-03.tex:354	defined
target		equation	eq:app3-self-similar-profile	label	tex/chapters/appendix-03.tex:360	tex/chapters/appendix-03.tex:360	defined
target		section	sec:app3-attractors	label	tex/chapters/appendix-03.tex:375	tex/chapters/appendix-03.tex:375	defined
target		equation	eq:app3-time-average-velocity	label	tex/chapters/appendix-03.tex:408	tex/chapters/appendix-03.tex:408	defined
target		equation	eq:app3-banach-limit-statistical-solution	label	tex/chapters/appendix-03.tex:414	tex/chapters/appendix-03.tex:414	defined
target		equation	eq:app3-statistical-measure-attractor-support	label	tex/chapters/appendix-03.tex:429	tex/chapters/appendix-03.tex:429	defined
target		section	sec:app3-compressible-inviscid	label	tex/chapters/appendix-03.tex:494	tex/chapters/appendix-03.tex:494	defined
target		equation	eq:app3-euler-nonpenetration	label	tex/chapters/appendix-03.tex:567	tex/chapters/appendix-03.tex:567	defined
target		equation	eq:app3-vorticity-equation	label	tex/chapters/appendix-03.tex:580	tex/chapters/appendix-03.tex:580	defined
target		equation	eq:app3-euler-apriori-estimate	label	tex/chapters/appendix-03.tex:596	tex/chapters/appendix-03.tex:596	defined
target		section	sec:app3-other-problems	label	tex/chapters/appendix-03.tex:634	tex/chapters/appendix-03.tex:634	defined
target		figure	fig:app3-uncontrolled-channel-coherent-structures	label	tex/chapters/appendix-03.tex:680	tex/chapters/appendix-03.tex:680	defined
target		figure	fig:app3-controlled-flow-drag	label	tex/chapters/appendix-03.tex:698	tex/chapters/appendix-03.tex:698	defined
target		section	sec:app3-bibliography	label	tex/chapters/appendix-03.tex:709	tex/chapters/appendix-03.tex:709	defined
reference	\item 第 \ref{sec:app3-existence} 节: 解的存在性, 唯一性和正则性;	section	sec:app3-existence	ref	tex/chapters/appendix-03.tex:36	tex/chapters/appendix-03.tex:47	resolved
reference	\item 第 \ref{sec:app3-attractors} 节: 吸引子与湍流;	section	sec:app3-attractors	ref	tex/chapters/appendix-03.tex:37	tex/chapters/appendix-03.tex:375	resolved
reference	\item 第 \ref{sec:app3-compressible-inviscid} 节: 可压缩流与无黏流;	section	sec:app3-compressible-inviscid	ref	tex/chapters/appendix-03.tex:39	tex/chapters/appendix-03.tex:494	resolved
reference	\item 第 \ref{sec:app3-other-problems} 节: 若干其他问题与方程.	section	sec:app3-other-problems	ref	tex/chapters/appendix-03.tex:40	tex/chapters/appendix-03.tex:634	resolved
reference	\eqref{eq:app3-general-nse} 除以 $\rho_0$, 得到不可压缩均匀流的 NSE, 即	equation	eq:app3-general-nse	eqref	tex/chapters/appendix-03.tex:100	tex/chapters/appendix-03.tex:85	resolved
reference	\eqref{eq:app3-incompressibility} 以及	equation	eq:app3-incompressibility	eqref	tex/chapters/appendix-03.tex:101	tex/chapters/appendix-03.tex:95	resolved
reference	\eqref{eq:app3-general-nse}--\eqref{eq:app3-incompressibility} 组成, 其中	equation	eq:app3-general-nse	eqref	tex/chapters/appendix-03.tex:111	tex/chapters/appendix-03.tex:85	resolved
reference	\eqref{eq:app3-general-nse}--\eqref{eq:app3-incompressibility} 组成, 其中	equation	eq:app3-incompressibility	eqref	tex/chapters/appendix-03.tex:111	tex/chapters/appendix-03.tex:95	resolved
reference	\eqref{eq:app3-general-nse},	equation	eq:app3-general-nse	eqref	tex/chapters/appendix-03.tex:112	tex/chapters/appendix-03.tex:85	resolved
reference	\eqref{eq:app3-continuity} 可利用	equation	eq:app3-continuity	eqref	tex/chapters/appendix-03.tex:113	tex/chapters/appendix-03.tex:90	resolved
reference	\eqref{eq:app3-incompressibility} 化简. 在这些方程中均有黏性, $\mu,\nu>0$; 当 $\mu=\nu=0$ 时对应无黏或``理想''流体, 此时恢复 Euler 方程.	equation	eq:app3-incompressibility	eqref	tex/chapters/appendix-03.tex:114	tex/chapters/appendix-03.tex:95	resolved
reference	\eqref{eq:app3-incompressibility},	equation	eq:app3-incompressibility	eqref	tex/chapters/appendix-03.tex:117	tex/chapters/appendix-03.tex:95	resolved
