Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		chapter	chap:ch07-additive-schwarz-preconditioners	label	tex/chapters/chapter-07.tex:4	tex/chapters/chapter-07.tex:4	defined
target		section	sec:ch07-exercises	label	tex/chapters/chapter-07/exercises.tex:2	tex/chapters/chapter-07/exercises.tex:2	defined
target		unknown	exr:ch07-01	label	tex/chapters/chapter-07/exercises.tex:7	tex/chapters/chapter-07/exercises.tex:7	defined
target		unknown	exr:ch07-02	label	tex/chapters/chapter-07/exercises.tex:18	tex/chapters/chapter-07/exercises.tex:18	defined
target		unknown	exr:ch07-03	label	tex/chapters/chapter-07/exercises.tex:24	tex/chapters/chapter-07/exercises.tex:24	defined
target		unknown	exr:ch07-04	label	tex/chapters/chapter-07/exercises.tex:34	tex/chapters/chapter-07/exercises.tex:34	defined
target		unknown	exr:ch07-05	label	tex/chapters/chapter-07/exercises.tex:39	tex/chapters/chapter-07/exercises.tex:39	defined
target		unknown	exr:ch07-06	label	tex/chapters/chapter-07/exercises.tex:44	tex/chapters/chapter-07/exercises.tex:44	defined
target		unknown	exr:ch07-07	label	tex/chapters/chapter-07/exercises.tex:49	tex/chapters/chapter-07/exercises.tex:49	defined
target		unknown	exr:ch07-08	label	tex/chapters/chapter-07/exercises.tex:60	tex/chapters/chapter-07/exercises.tex:60	defined
target		unknown	exr:ch07-09	label	tex/chapters/chapter-07/exercises.tex:84	tex/chapters/chapter-07/exercises.tex:84	defined
target		unknown	exr:ch07-10	label	tex/chapters/chapter-07/exercises.tex:90	tex/chapters/chapter-07/exercises.tex:90	defined
target		unknown	exr:ch07-11	label	tex/chapters/chapter-07/exercises.tex:95	tex/chapters/chapter-07/exercises.tex:95	defined
target		unknown	exr:ch07-12	label	tex/chapters/chapter-07/exercises.tex:105	tex/chapters/chapter-07/exercises.tex:105	defined
target		unknown	exr:ch07-13	label	tex/chapters/chapter-07/exercises.tex:110	tex/chapters/chapter-07/exercises.tex:110	defined
target		unknown	exr:ch07-14	label	tex/chapters/chapter-07/exercises.tex:115	tex/chapters/chapter-07/exercises.tex:115	defined
target		unknown	exr:ch07-15	label	tex/chapters/chapter-07/exercises.tex:120	tex/chapters/chapter-07/exercises.tex:120	defined
target		unknown	exr:ch07-16	label	tex/chapters/chapter-07/exercises.tex:125	tex/chapters/chapter-07/exercises.tex:125	defined
target		unknown	exr:ch07-17	label	tex/chapters/chapter-07/exercises.tex:130	tex/chapters/chapter-07/exercises.tex:130	defined
target		unknown	exr:ch07-18	label	tex/chapters/chapter-07/exercises.tex:142	tex/chapters/chapter-07/exercises.tex:142	defined
target		unknown	exr:ch07-19	label	tex/chapters/chapter-07/exercises.tex:147	tex/chapters/chapter-07/exercises.tex:147	defined
target		unknown	exr:ch07-20	label	tex/chapters/chapter-07/exercises.tex:152	tex/chapters/chapter-07/exercises.tex:152	defined
target		unknown	exr:ch07-21	label	tex/chapters/chapter-07/exercises.tex:157	tex/chapters/chapter-07/exercises.tex:157	defined
target		unknown	exr:ch07-22	label	tex/chapters/chapter-07/exercises.tex:168	tex/chapters/chapter-07/exercises.tex:168	defined
target		unknown	exr:ch07-23	label	tex/chapters/chapter-07/exercises.tex:173	tex/chapters/chapter-07/exercises.tex:173	defined
target		unknown	exr:ch07-24	label	tex/chapters/chapter-07/exercises.tex:178	tex/chapters/chapter-07/exercises.tex:178	defined
target		unknown	exr:ch07-25	label	tex/chapters/chapter-07/exercises.tex:197	tex/chapters/chapter-07/exercises.tex:197	defined
target		unknown	exr:ch07-26	label	tex/chapters/chapter-07/exercises.tex:218	tex/chapters/chapter-07/exercises.tex:218	defined
target		unknown	exr:ch07-27	label	tex/chapters/chapter-07/exercises.tex:229	tex/chapters/chapter-07/exercises.tex:229	defined
target		unknown	exr:ch07-28	label	tex/chapters/chapter-07/exercises.tex:234	tex/chapters/chapter-07/exercises.tex:234	defined
target		unknown	exr:ch07-29	label	tex/chapters/chapter-07/exercises.tex:239	tex/chapters/chapter-07/exercises.tex:239	defined
target		unknown	exr:ch07-30	label	tex/chapters/chapter-07/exercises.tex:244	tex/chapters/chapter-07/exercises.tex:244	defined
target		unknown	exr:ch07-31	label	tex/chapters/chapter-07/exercises.tex:249	tex/chapters/chapter-07/exercises.tex:249	defined
target		unknown	exr:ch07-32	label	tex/chapters/chapter-07/exercises.tex:254	tex/chapters/chapter-07/exercises.tex:254	defined
target		unknown	exr:ch07-33	label	tex/chapters/chapter-07/exercises.tex:259	tex/chapters/chapter-07/exercises.tex:259	defined
target		unknown	exr:ch07-34	label	tex/chapters/chapter-07/exercises.tex:264	tex/chapters/chapter-07/exercises.tex:264	defined
target		unknown	exr:ch07-35	label	tex/chapters/chapter-07/exercises.tex:276	tex/chapters/chapter-07/exercises.tex:276	defined
target		unknown	exr:ch07-36	label	tex/chapters/chapter-07/exercises.tex:281	tex/chapters/chapter-07/exercises.tex:281	defined
target		unknown	exr:ch07-37	label	tex/chapters/chapter-07/exercises.tex:295	tex/chapters/chapter-07/exercises.tex:295	defined
target		unknown	exr:ch07-38	label	tex/chapters/chapter-07/exercises.tex:309	tex/chapters/chapter-07/exercises.tex:309	defined
target		unknown	exr:ch07-39	label	tex/chapters/chapter-07/exercises.tex:314	tex/chapters/chapter-07/exercises.tex:314	defined
target		unknown	exr:ch07-40	label	tex/chapters/chapter-07/exercises.tex:319	tex/chapters/chapter-07/exercises.tex:319	defined
target		unknown	exr:ch07-41	label	tex/chapters/chapter-07/exercises.tex:324	tex/chapters/chapter-07/exercises.tex:324	defined
target		unknown	exr:ch07-42	label	tex/chapters/chapter-07/exercises.tex:329	tex/chapters/chapter-07/exercises.tex:329	defined
target		unknown	exr:ch07-43	label	tex/chapters/chapter-07/exercises.tex:334	tex/chapters/chapter-07/exercises.tex:334	defined
target		section	sec:ch07-abstract-additive-schwarz-framework	label	tex/chapters/chapter-07/section-01.tex:2	tex/chapters/chapter-07/section-01.tex:2	defined
target		equation	eq:ch07-canonical-duality-pairing	label	tex/chapters/chapter-07/section-01.tex:10	tex/chapters/chapter-07/section-01.tex:10	defined
target		definition	def:ch07-spd-operator-v-to-dual	label	tex/chapters/chapter-07/section-01.tex:17	tex/chapters/chapter-07/section-01.tex:17	defined
target		equation	eq:ch07-spd-a-symmetry	label	tex/chapters/chapter-07/section-01.tex:24	tex/chapters/chapter-07/section-01.tex:24	defined
target		equation	eq:ch07-spd-a-positivity	label	tex/chapters/chapter-07/section-01.tex:28	tex/chapters/chapter-07/section-01.tex:28	defined
target		equation	eq:ch07-spd-b-symmetry	label	tex/chapters/chapter-07/section-01.tex:39	tex/chapters/chapter-07/section-01.tex:39	defined
target		equation	eq:ch07-spd-b-positivity	label	tex/chapters/chapter-07/section-01.tex:43	tex/chapters/chapter-07/section-01.tex:43	defined
target		equation	eq:ch07-abstract-additive-schwarz-preconditioner	label	tex/chapters/chapter-07/section-01.tex:53	tex/chapters/chapter-07/section-01.tex:53	defined
target		equation	eq:ch07-transpose-injection-definition	label	tex/chapters/chapter-07/section-01.tex:60	tex/chapters/chapter-07/section-01.tex:60	defined
target		equation	eq:ch07-auxiliary-space-decomposition	label	tex/chapters/chapter-07/section-01.tex:68	tex/chapters/chapter-07/section-01.tex:68	defined
