PDF Page	Source Scope	Translation Target	Coverage	Verification
133	Chapter III title and complete five-paragraph chapter introduction	tex/chapters/ch03-sec01.tex: chap:sobolev-spaces introduction	covered	All four section previews, optional-reading caveat, applications to Chapter IV, and self-contained-proof policy retained
134	Section 1 heading; signed-distance notation and diagram; Section 1.1 motivation; Definition III.1.1	tex/chapters/ch03-sec01.tex: sec:chap3-domains through def:chap3-ckalpha-half-space	covered	Exact source diagram included as a cropped read-only-source rendering; one-side condition and orientation motivation retained
135	Definition III.1.2; Figure III.1; Ck and Lipschitz cases; Section 1.2 introduction	tex/chapters/ch03-sec01.tex: def:chap3-ckalpha-domain through subsection Lipschitz introduction	covered	All three local equalities, exact source figure, alpha=0 case, citations, and convex-domain example retained
136	Section 1.2.1 motivation; mollifier constants; equation (III.1); Proposition III.1.3 items 1-4	tex/chapters/ch03-sec01.tex: Lipschitz half-space introduction through prop:chap3-regularized-graph-properties	covered	Diffeomorphism goal, all kernel constants, gamma condition, regularized graph, smoothness, derivatives, limit, and monotonicity retained
137	Proposition III.1.3 item 5; proof items 1-2 through second-derivative estimates	tex/chapters/ch03-sec01.tex: remaining proposition statement and first half of proof	covered	Both Jacobian gradient bounds, image identities, first-difference estimate, derivative identities, integration-by-parts identity, and three second-derivative bounds retained
138	Proof of Proposition III.1.3 ends; future Sobolev and Lp isomorphism notes; Section 1.2.2; Theorem III.1.4 statement	tex/chapters/ch03-sec01.tex: end of prop:chap3-regularized-graph-properties proof through thm:chap3-lipschitz-cone-property	covered	Monotonicity calculation, Jacobian conclusion, future references, all three cone-property bullets, and equations (III.2)-(III.3) retained
139	Proof of Theorem III.1.4; Figure III.2; equation (III.4); infinite-cone calculation begins	tex/chapters/ch03-sec01.tex: proof of thm:chap3-lipschitz-cone-property	covered	Rotation reduction, exact source figure, neighborhood, cone definition, geometric estimate, and Lipschitz calculation retained
140	Proof of Theorem III.1.4 ends; U0 covering; Proposition III.1.5 statement and first proof case	tex/chapters/ch03-sec01.tex: end of cone proof through first part of prop:chap3-shifted-balls-cone proof	covered	Shift condition, delta restriction, finite cover, equations (III.5)-(III.6), two source cautions, M and epsilon definitions, and i=0 proof retained
141	Figure III.3; Proposition III.1.5 proof, inward-ball estimate and outward-ball setup	tex/chapters/ch03-sec01.tex: proof of prop:chap3-shifted-balls-cone	covered	Exact source figure, dot-product bounds, Young estimate, existence of alpha, and y-star construction retained
142	Proposition III.1.5 proof ends; Definition III.1.6; Lemma III.1.7 and proof begins	tex/chapters/ch03-sec01.tex: end of shifted-ball proof through lem:chap3-lipschitz-locally-star-shaped	covered	Contradiction ball, final inclusions, star-shaped definition, bounded/unbounded statements, interior case, and boundary-cone union retained
143	Proof of Lemma III.1.7 ends; Section 1.2.3; equation (III.7); Ja bounds	tex/chapters/ch03-sec01.tex: proof of star-shaped lemma through eq:chap3-boundary-integral-half-space	covered	Open cone, convexity, centre point, both epsilon inequalities, boundary integral definition, Rademacher justification, and bounds retained
144	Equation (III.8); rotation invariance; general boundary measure and normal construction	tex/chapters/ch03-sec01.tex: eq:chap3-outward-normal-half-space through Radon-measure discussion	covered	Exact vector, finite cover, rotations, partition of unity, independence, Lp spaces, and Linfinity normal retained
145	Section 1.2.4; Theorem III.1.8; equations (III.9)-(III.10); proof reduction to half-spaces	tex/chapters/ch03-sec01.tex: thm:chap3-stokes-divergence and first part of proof	covered	Appendix pointer, product formula outside theorem box, compact-support case, partition of unity, rotation identity, and transformed boundary integral retained
146	Stokes proof for general domains and smooth half-spaces	tex/chapters/ch03-sec01.tex: middle of thm:chap3-stokes-divergence proof	covered	All change-of-variable steps, Fubini expansion, integration by parts, boundary normal and Jacobian factors retained
147	Figure III.4 and final Lipschitz-half-space limit argument	tex/chapters/ch03-sec01.tex: figure fig:chap3-smooth-half-space-approximation through end of proof	covered	Exact source figure, smooth approximants, characteristic-function convergence, both dominated-convergence conditions, derivative convergence, and final three-line identity retained
