Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		section	sec:sample-range	label	tex/chapters/sample-pages-037-055.tex:7	tex/chapters/sample-pages-037-055.tex:7	defined
target		equation	eq:sec2-polar-set	label	tex/chapters/sample-pages-037-055.tex:19	tex/chapters/sample-pages-037-055.tex:19	defined
target		definition	def:sec2-greens-operator	label	tex/chapters/sample-pages-037-055.tex:29	tex/chapters/sample-pages-037-055.tex:29	defined
target		corollary	cor:sec2-vperp-green	label	tex/chapters/sample-pages-037-055.tex:40	tex/chapters/sample-pages-037-055.tex:40	defined
target		equation	eq:sec2-l20-quotient-norm	label	tex/chapters/sample-pages-037-055.tex:72	tex/chapters/sample-pages-037-055.tex:72	defined
target		corollary	cor:sec2-grad-div-isomorphisms	label	tex/chapters/sample-pages-037-055.tex:83	tex/chapters/sample-pages-037-055.tex:83	defined
target		remark	rem:sec2-abstract-div-isomorphism	label	tex/chapters/sample-pages-037-055.tex:108	tex/chapters/sample-pages-037-055.tex:108	defined
target		lemma	lem:sec2-div-free-lifting	label	tex/chapters/sample-pages-037-055.tex:116	tex/chapters/sample-pages-037-055.tex:116	defined
target		equation	eq:sec2-div-free-lifting-bound	label	tex/chapters/sample-pages-037-055.tex:125	tex/chapters/sample-pages-037-055.tex:125	defined
target		theorem	thm:sec2-gradient-characterization	label	tex/chapters/sample-pages-037-055.tex:168	tex/chapters/sample-pages-037-055.tex:168	defined
target		equation	eq:sec2-annihilates-test-divfree	label	tex/chapters/sample-pages-037-055.tex:170	tex/chapters/sample-pages-037-055.tex:170	defined
target		corollary	cor:sec2-test-divfree-dense	label	tex/chapters/sample-pages-037-055.tex:242	tex/chapters/sample-pages-037-055.tex:242	defined
target		equation	eq:sec2-banach-density-criterion	label	tex/chapters/sample-pages-037-055.tex:247	tex/chapters/sample-pages-037-055.tex:247	defined
target		equation	eq:sec2-hdiv-norm	label	tex/chapters/sample-pages-037-055.tex:268	tex/chapters/sample-pages-037-055.tex:268	defined
target		theorem	thm:sec2-dense-in-hdiv	label	tex/chapters/sample-pages-037-055.tex:279	tex/chapters/sample-pages-037-055.tex:279	defined
target		theorem	thm:sec2-normal-trace	label	tex/chapters/sample-pages-037-055.tex:321	tex/chapters/sample-pages-037-055.tex:321	defined
target		equation	eq:sec2-normal-trace-norm	label	tex/chapters/sample-pages-037-055.tex:357	tex/chapters/sample-pages-037-055.tex:357	defined
target		equation	eq:sec2-hdiv-green	label	tex/chapters/sample-pages-037-055.tex:365	tex/chapters/sample-pages-037-055.tex:365	defined
target		corollary	cor:sec2-laplace-green	label	tex/chapters/sample-pages-037-055.tex:373	tex/chapters/sample-pages-037-055.tex:373	defined
