Unit ID	Source Scope	PDF Start	PDF End	QA Status	Translation File	QA Report
frontmatter-preface	Preface	3	6	passed	tex/frontmatter.tex	qa/batches/frontmatter-preface.md
ch01-sec01	Chapter I, Section 1: Continuous description of a fluid	13	16	passed	tex/chapters/ch01-sec01.tex	qa/batches/ch01-sec01.md
ch01-sec02	Chapter I, Section 2: The transport theorem	17	19	passed	tex/chapters/sample.tex	qa/sample-qa.json
ch01-sec03	Chapter I, Section 3: Evolution equations	19	30	passed	tex/chapters/ch01-sec03.tex	qa/batches/ch01-sec03.md
ch01-sec04	Chapter I, Section 4: Fundamental laws	31	41	passed	tex/chapters/ch01-sec04.tex	qa/batches/ch01-sec04.md
ch01-sec05	Chapter I, Section 5: Summary of the equations	42	43	passed	tex/chapters/ch01-sec05.tex	qa/batches/ch01-sec05.md
ch01-sec06	Chapter I, Section 6: Incompressible models	44	53	passed	tex/chapters/ch01-sec06.tex	qa/batches/ch01-sec06.md
ch01-sec07	Chapter I, Section 7: Some exact steady solutions	54	60	passed	tex/chapters/ch01-sec07.tex	qa/batches/ch01-sec07.md
ch02-sec01	Chapter II, Section 1: Main notation	61	63	passed	tex/chapters/ch02-sec01.tex	qa/batches/ch02-sec01.md
ch02-sec02	Chapter II, Section 2: Fundamental results from functional analysis	63	89	passed	tex/chapters/ch02-sec02.tex	qa/batches/ch02-sec02.md
ch02-sec03	Chapter II, Section 3: Basic compactness results	89	96	passed	tex/chapters/ch02-sec03.tex	qa/batches/ch02-sec03.md
ch02-sec04	Chapter II, Section 4: Functions of one real variable	96	104	passed	tex/chapters/ch02-sec04.tex	qa/batches/ch02-sec04.md
ch02-sec05	Chapter II, Section 5: Spaces of Banach-valued functions	104	122	passed	tex/chapters/ch02-sec05.tex	qa/batches/ch02-sec05.md
ch02-sec06	Chapter II, Section 6: Spectral analysis of unbounded operators	122	132	passed	tex/chapters/ch02-sec06.tex	qa/batches/ch02-sec06.md
ch03-sec01	Chapter III, Section 1: Domains	133	147	passed	tex/chapters/ch03-sec01.tex	qa/batches/ch03-sec01.md
