Unit ID	Source Pages	Title	Extraction Status	Structure Status	Translation Status	QA Status	Compilation Status	Blocking Issues	Output File
chapter-00	PDF 16--37	Basic Concepts	complete	complete	complete	passed	passed: 3 XeLaTeX passes	5 nonblocking QA warnings recorded	tex/chapters/chapter-00.tex
chapter-01	PDF 38--62	Sobolev Spaces	complete	complete	complete	passed	passed: clean batch and integrated builds	2 nonblocking warnings recorded	tex/chapters/chapter-01.tex
chapter-02	PDF 63--81	Variational Formulation of Elliptic Boundary Value Problems	complete	complete	complete	passed	passed: clean batch and integrated builds	1 nonblocking external-reference warning recorded	tex/chapters/chapter-02.tex
chapter-03	PDF 82--105	The Construction of a Finite Element Space	complete	complete	complete	passed	passed: clean batch and integrated builds	2 nonblocking external-reference warnings recorded	tex/chapters/chapter-03.tex
chapter-04	PDF 106--140	Polynomial Approximation Theory in Sobolev Spaces	complete	complete	complete	passed	passed: clean batch and integrated builds	6 nonblocking source/reference warnings recorded	tex/chapters/chapter-04.tex
chapter-05	PDF 141--166	n-Dimensional Variational Problems	complete	complete	complete	passed	passed: clean batch and integrated builds	3 nonblocking source/reference warnings recorded	tex/chapters/chapter-05.tex
chapter-06	PDF 167--185	Finite Element Multigrid Methods	complete	complete	complete	passed	passed: clean batch and integrated builds	5 nonblocking terminology items carried from the approved sample	tex/chapters/chapter-06.tex
chapter-07	PDF 186--225	Additive Schwarz Preconditioners	complete	complete	complete	passed	passed: clean batch and integrated builds	2 nonblocking QA warnings recorded	tex/chapters/chapter-07.tex
chapter-08	PDF 226--251	Max-norm Estimates	complete	complete	complete	passed	passed: clean batch and integrated builds	1 nonblocking forward reference	tex/chapters/chapter-08.tex
chapter-09	PDF 252--280	Adaptive Meshes	complete	complete	complete	passed	passed: clean batch and integrated builds	1 nonblocking forward-reference warning recorded	tex/chapters/chapter-09.tex
chapter-10	PDF 281--319	Variational Crimes	complete	complete	complete	passed	passed: clean batch and integrated builds	54 nonblocking unresolved source references recorded	tex/chapters/chapter-10.tex
chapter-11	PDF 320--338	Applications to Planar Elasticity	complete	complete	complete	passed	passed: clean batch and integrated builds	19 nonblocking unresolved source references recorded	tex/chapters/chapter-11.tex
chapter-12	PDF 339--362	Mixed Methods	complete	complete	complete	passed	passed: clean batch and integrated builds	13 nonblocking unresolved source references recorded	tex/chapters/chapter-12.tex
chapter-13	PDF 363--378	Iterative Techniques for Mixed Methods	complete	complete	complete	passed	passed: clean batch and integrated builds	4 nonblocking source/reference anomalies recorded	tex/chapters/chapter-13.tex
chapter-14	PDF 379--389	Applications of Operator-Interpolation Theory	complete	complete	complete	passed	passed: clean batch and integrated builds	2 nonblocking unresolved source references recorded	tex/chapters/chapter-14.tex
frontmatter	PDF 1--15	Title, Contents, Prefaces, and Introduction	pending	pending	pending	pending	pending		tex/frontmatter.tex
references	PDF 390--400	References	pending	pending	pending	pending	pending		tex/backmatter-references.tex
index	PDF 401--404	Index	pending	pending	pending	pending	pending		tex/backmatter-index.tex
