PDF Page	Source Block	Source Content	Translation Target	Coverage	Verification
61	ch02-intro-title	Chapter II title and chapter title	tex/chapters/ch02-sec01.tex: chap:analysis-tools	covered	Rendered page and extracted text checked
61	ch02-intro-p01	Chapter goal and scope	tex/chapters/ch02-sec01.tex: paragraph 1	covered	Sentence-level bilingual check
61	ch02-intro-p02	Section 2 overview and literature references	tex/chapters/ch02-sec01.tex: paragraph 2	covered	Sentence-level bilingual check; bibliography targets deferred
61	ch02-intro-p03	Section 3 compactness overview	tex/chapters/ch02-sec01.tex: paragraph 3	covered	Sentence-level bilingual check
61	ch02-intro-p04	Section 4 energy estimates and real-variable inequalities	tex/chapters/ch02-sec01.tex: paragraph 4	covered	Sentence-level bilingual check
61-62	ch02-intro-p05	Section 5, Bochner theory, compactness theorem, Ascoli theorem, and Fourier transform	tex/chapters/ch02-sec01.tex: paragraph 5	covered	Cross-page sentence-level bilingual check; bibliography targets deferred
62	ch02-intro-p06	Section 6 spectral theory overview	tex/chapters/ch02-sec01.tex: paragraph 6	covered	Sentence-level bilingual check
62	ch02-sec01-heading	Section 1 heading	tex/chapters/ch02-sec01.tex: sec:chap2-main-notation	covered	Structure and label checked
62	ch02-sec01-p01	Dimension, Euclidean norm, and inner product notation	tex/chapters/ch02-sec01.tex: notation paragraph 1	covered	Sentence and formula-token check
62	ch02-sec01-p02	Multi-index and partial derivative notation	tex/chapters/ch02-sec01.tex: notation paragraph 2	covered	Sentence and formula-token check
62	ch02-sec01-list-01	Definition of C^k(Omega)	tex/chapters/ch02-sec01.tex: item 1	covered	Formula-token check
62	ch02-sec01-list-02	Definition of C_b^k(Omega)	tex/chapters/ch02-sec01.tex: item 2	covered	Formula-token check
62	ch02-sec01-list-03	Hölder and Lipschitz spaces and seminorm	tex/chapters/ch02-sec01.tex: item 3	covered	Rendered formula checked against source
62	ch02-sec01-list-04	Definition of C^{k,alpha}(Omega)	tex/chapters/ch02-sec01.tex: item 4	covered	Formula-token check
62	ch02-sec01-list-05	Compactly supported smooth functions and D(Omega)	tex/chapters/ch02-sec01.tex: item 5	covered	Formula-token check
62	ch02-sec01-list-06	Restrictions of C_c^infty(R^d) to Omega	tex/chapters/ch02-sec01.tex: item 6	covered	Overline on Omega verified visually
62	ch02-sec01-p03	Extension by zero	tex/chapters/ch02-sec01.tex: zero-extension paragraph and display	covered	Cases and domains checked
62-63	ch02-sec01-p04	Signed distance definition and equation (II.1)	tex/chapters/ch02-sec01.tex: eq:chap2-signed-distance	covered	Overline on first-case Omega restored from rendered source
63	ch02-sec01-p05	Lipschitz continuity of signed distance	tex/chapters/ch02-sec01.tex: final paragraph	covered	Sentence and inequality checked
