English	Preferred Chinese	Domain	Context	Forbidden Alternatives	Status	First Source	First Location	Last Verified Source	Last Verified Location	Notes
approximation of the identity	恒等逼近	analysis	family converging to the Dirac measure in the stated sense		needs-review	Chapter 2, §1	PDF 37 / printed 25	Chapter 2, §1	PDF 37 / printed 25	Candidate only; compare preferred Chinese usage before approval
Dirac measure	Dirac 测度	analysis	measure concentrated at the origin in the sample		needs-review	Chapter 2, §1	PDF 37 / printed 25	Chapter 2, §1	PDF 37 / printed 25	Personal name preserved
weak-type inequality	弱型不等式	operator theory	weak (p,q) estimate		needs-review	Chapter 2, §2	PDF 38 / printed 26	Chapter 2, §2	PDF 38 / printed 26	Candidate only
strong-type inequality	强型不等式	operator theory	boundedness from L^p to L^q		needs-review	Chapter 2, §2	PDF 38 / printed 26	Chapter 2, §2	PDF 38 / printed 26	Candidate only
maximal operator	极大算子	analysis	operator associated with a family of operators		needs-review	Chapter 2, §2	PDF 39 / printed 27	Chapter 2, §2	PDF 39 / printed 27	Candidate only
distribution function	分布函数	measure theory	distribution function of an absolute value		needs-review	Chapter 2, §3	PDF 40 / printed 28	Chapter 2, §3	PDF 40 / printed 28	Candidate only
Marcinkiewicz interpolation theorem	Marcinkiewicz 插值定理	operator theory	interpolation result in Theorem 2.4		needs-review	Chapter 2, §3	PDF 41 / printed 29	Chapter 2, §3	PDF 41 / printed 29	Personal name preserved
sublinear operator	次线性算子	operator theory	operator satisfying the stated pointwise inequality		needs-review	Chapter 2, §3	PDF 40 / printed 28	Chapter 2, §3	PDF 40 / printed 28	Candidate only
centered maximal operator	中心极大算子	harmonic analysis	maximal operator over balls centered at x		needs-review	Chapter 2, §4	PDF 42 / printed 30	Chapter 2, §4	PDF 42 / printed 30	Candidate only
non-centered maximal operator	非中心极大算子	harmonic analysis	maximal operator over balls containing x		needs-review	Chapter 2, §4	PDF 42 / printed 30	Chapter 2, §4	PDF 42 / printed 30	Candidate only
dyadic cube	二进立方体	harmonic analysis	cube in the dyadic family defined in the sample		needs-review	Chapter 2, §5	PDF 45 / printed 33	Chapter 2, §5	PDF 45 / printed 33	Candidate only
conditional expectation	条件期望	measure theory	conditional expectation with respect to the generated sigma algebra		needs-review	Chapter 2, §5	PDF 45 / printed 33	Chapter 2, §5	PDF 45 / printed 33	Candidate only
Calderón--Zygmund decomposition	Calderón--Zygmund 分解	harmonic analysis	decomposition in Theorem 2.11		needs-review	Chapter 2, §5	PDF 46 / printed 34	Chapter 2, §5	PDF 46 / printed 34	Accents and double name preserved
Lebesgue differentiation theorem	Lebesgue 微分定理	real analysis	pointwise differentiation result in Corollary 2.13		needs-review	Chapter 2, §6	PDF 48 / printed 36	Chapter 2, §6	PDF 48 / printed 36	Personal name preserved
Lebesgue point	Lebesgue 点	real analysis	point satisfying the displayed mean-oscillation limit		needs-review	Chapter 2, §6	PDF 48 / printed 36	Chapter 2, §6	PDF 48 / printed 36	Personal name preserved
weighted norm inequality	加权范数不等式	harmonic analysis	weighted estimate for the maximal operator		needs-review	Chapter 2, §7	PDF 49 / printed 37	Chapter 2, §7	PDF 49 / printed 37	Candidate only
A_1 weight	$A_1$ 权	harmonic analysis	weight satisfying M w <= C w almost everywhere		needs-review	Chapter 2, §7	PDF 50 / printed 38	Chapter 2, §7	PDF 50 / printed 38	Candidate only
Hardy operator	Hardy 算子	analysis	one-dimensional averaging operator in §8.2		needs-review	Chapter 2, §8.2	PDF 51 / printed 39	Chapter 2, §8.2	PDF 51 / printed 39	Personal name preserved
decreasing rearrangement	递减重排	analysis	rearrangement mentioned in §8.2		needs-review	Chapter 2, §8.2	PDF 51 / printed 39	Chapter 2, §8.2	PDF 51 / printed 39	Candidate only
Fourier coefficient	Fourier 系数	harmonic analysis	coefficient defined by integration against an exponential		needs-review	Chapter 1, §1	PDF 14 / printed 2	Chapter 1, §1	PDF 14 / printed 2	Personal name preserved; candidate only
Fourier series	Fourier 级数	harmonic analysis	series formed from the Fourier coefficients		needs-review	Chapter 1, §1	PDF 14 / printed 2	Chapter 1, §1	PDF 14 / printed 2	Personal name preserved; candidate only
Dirichlet kernel	Dirichlet 核	harmonic analysis	kernel representing symmetric Fourier partial sums		needs-review	Chapter 1, §2	PDF 15 / printed 3	Chapter 1, §2	PDF 15 / printed 3	Personal name preserved
Dini criterion	Dini 判别法	harmonic analysis	local sufficient condition for pointwise Fourier convergence		needs-review	Chapter 1, §2	PDF 16 / printed 4	Chapter 1, §2	PDF 16 / printed 4	Personal name preserved
Jordan criterion	Jordan 判别法	harmonic analysis	bounded-variation sufficient condition for pointwise Fourier convergence		needs-review	Chapter 1, §2	PDF 16 / printed 4	Chapter 1, §2	PDF 16 / printed 4	Personal name preserved
bounded variation	有界变差	real analysis	finite total variation on an interval		needs-review	Chapter 1, §2	PDF 16 / printed 4	Chapter 1, §2	PDF 16 / printed 4	Candidate only
Riemann localization principle	Riemann 局部化原理	harmonic analysis	local dependence of Fourier-series convergence		needs-review	Chapter 1, §2	PDF 16 / printed 4	Chapter 1, §2	PDF 16 / printed 4	Personal name preserved
Riemann--Lebesgue lemma	Riemann--Lebesgue 引理	harmonic analysis	decay of Fourier coefficients or transforms		needs-review	Chapter 1, §2	PDF 15 / printed 3	Chapter 1, §2	PDF 15 / printed 3	Personal names preserved
uniform boundedness principle	一致有界原理	functional analysis	Banach--Steinhaus principle used for Fourier partial sums		needs-review	Chapter 1, §3	PDF 19 / printed 7	Chapter 1, §3	PDF 19 / printed 7	Candidate only
Lebesgue number	Lebesgue 数	harmonic analysis	L1 norm of the Dirichlet kernel		needs-review	Chapter 1, §2	PDF 18 / printed 6	Chapter 1, §2	PDF 18 / printed 6	Personal name preserved
summability	可和性	harmonic analysis	convergence produced by an averaging method		needs-review	Chapter 1, §5	PDF 22 / printed 10	Chapter 1, §5	PDF 22 / printed 10	Candidate only
Fejér kernel	Fejér 核	harmonic analysis	kernel for Cesàro means of Fourier series		needs-review	Chapter 1, §5	PDF 22 / printed 10	Chapter 1, §5	PDF 22 / printed 10	Accent preserved
Poisson kernel	Poisson 核	harmonic analysis	kernel for Abel--Poisson summability and harmonic extension		needs-review	Chapter 1, §5	PDF 23 / printed 11	Chapter 1, §5	PDF 23 / printed 11	Personal name preserved
Fourier transform	Fourier 变换	harmonic analysis	Euclidean Fourier transform with the project normalization		needs-review	Chapter 1, §6	PDF 24 / printed 12	Chapter 1, §6	PDF 24 / printed 12	Personal name preserved
Schwartz class	Schwartz 类	functional analysis	rapidly decreasing smooth functions		needs-review	Chapter 1, §7	PDF 25 / printed 13	Chapter 1, §7	PDF 25 / printed 13	Personal name preserved
tempered distribution	缓增分布	distribution theory	continuous linear functional on the Schwartz class		needs-review	Chapter 1, §7	PDF 27 / printed 15	Chapter 1, §7	PDF 27 / printed 15	Candidate only
Fourier inversion formula	Fourier 反演公式	harmonic analysis	formula recovering a function from its Fourier transform		needs-review	Chapter 1, §7	PDF 25 / printed 13	Chapter 1, §7	PDF 25 / printed 13	Personal name preserved
Plancherel theorem	Plancherel 定理	harmonic analysis	L2 isometry and extension of the Fourier transform		needs-review	Chapter 1, §8	PDF 28 / printed 16	Chapter 1, §8	PDF 28 / printed 16	Personal name preserved
Riesz--Thorin interpolation theorem	Riesz--Thorin 插值定理	operator theory	interpolation between two strong-type bounds		needs-review	Chapter 1, §8	PDF 29 / printed 17	Chapter 1, §8	PDF 29 / printed 17	Personal names preserved
Hausdorff--Young inequality	Hausdorff--Young 不等式	harmonic analysis	Lp to Lq Fourier-transform estimate		needs-review	Chapter 1, §8	PDF 29 / printed 17	Chapter 1, §8	PDF 29 / printed 17	Personal names preserved
Young convolution inequality	Young 卷积不等式	harmonic analysis	Lp convolution estimate		needs-review	Chapter 1, §8	PDF 29 / printed 17	Chapter 1, §8	PDF 29 / printed 17	Personal name preserved
Gibbs phenomenon	Gibbs 现象	harmonic analysis	overshoot near a jump discontinuity of Fourier partial sums		needs-review	Chapter 1, §10	PDF 33 / printed 21	Chapter 1, §10	PDF 33 / printed 21	Personal name preserved
Hermite function	Hermite 函数	harmonic analysis	eigenfunction of the Fourier transform built from Hermite polynomials		needs-review	Chapter 1, §10	PDF 34 / printed 22	Chapter 1, §10	PDF 34 / printed 22	Personal name preserved
positive definite	正定	harmonic analysis	matrix positivity condition for values of a function on differences		needs-review	Chapter 1, §10	PDF 35 / printed 23	Chapter 1, §10	PDF 35 / printed 23	Candidate only
one-sided maximal function	单侧极大函数	harmonic analysis	Hardy--Littlewood maximal function using one-sided intervals		needs-review	Chapter 2, §8.2	PDF 52 / printed 40	Chapter 2, §8.2	PDF 52 / printed 40	Candidate only
rising sun lemma	上升太阳引理	real analysis	F. Riesz covering argument for the one-sided maximal function		needs-review	Chapter 2, §8.2	PDF 52 / printed 40	Chapter 2, §8.2	PDF 52 / printed 40	Candidate only
Lorentz space	Lorentz 空间	functional analysis	function space defined through decreasing rearrangement		needs-review	Chapter 2, §8.3	PDF 53 / printed 41	Chapter 2, §8.3	PDF 53 / printed 41	Personal name preserved
Luxemburg norm	Luxemburg 范数	functional analysis	norm used for L log L and Orlicz spaces		needs-review	Chapter 2, §8.4	PDF 54 / printed 42	Chapter 2, §8.4	PDF 54 / printed 42	Personal name preserved
Orlicz space	Orlicz 空间	functional analysis	Banach function space defined by a convex increasing function		needs-review	Chapter 2, §8.4	PDF 54 / printed 42	Chapter 2, §8.4	PDF 54 / printed 42	Personal name preserved
covering lemma	覆盖引理	real analysis	selection result for families of balls or cubes		needs-review	Chapter 2, §8.6	PDF 56 / printed 44	Chapter 2, §8.6	PDF 56 / printed 44	Candidate only
doubling condition	倍增条件	measure theory	measure condition mu(2B) <= C mu(B)		needs-review	Chapter 2, §8.6	PDF 56 / printed 44	Chapter 2, §8.6	PDF 56 / printed 44	Candidate only
non-tangential approach	非切向逼近	harmonic analysis	approach to a boundary point inside a cone		needs-review	Chapter 2, §8.7	PDF 57 / printed 45	Chapter 2, §8.7	PDF 57 / printed 45	Candidate only
strong maximal function	强极大函数	harmonic analysis	maximal function over axis-parallel rectangles		needs-review	Chapter 2, §8.8	PDF 57 / printed 45	Chapter 2, §8.8	PDF 57 / printed 45	Candidate only
Kakeya maximal function	Kakeya 极大函数	harmonic analysis	maximal operator over eccentric rectangles		needs-review	Chapter 2, §8.9	PDF 58 / printed 46	Chapter 2, §8.9	PDF 58 / printed 46	Personal name preserved
conjugate Poisson kernel	共轭 Poisson 核	harmonic analysis	harmonic conjugate of the Poisson kernel		needs-review	Chapter 3, §1	PDF 61 / printed 49	Chapter 3, §1	PDF 61 / printed 49	Personal name preserved
principal value	主值	distribution theory	principal-value tempered distribution		needs-review	Chapter 3, §2	PDF 62 / printed 50	Chapter 3, §2	PDF 62 / printed 50	Candidate only
Hilbert transform	Hilbert 变换	harmonic analysis	singular integral operator with multiplier minus i sign xi		needs-review	Chapter 3	PDF 61 / printed 49	Chapter 3	PDF 61 / printed 49	Personal name preserved
truncated Hilbert transform	截断 Hilbert 变换	harmonic analysis	truncated principal-value singular integral		needs-review	Chapter 3, §4	PDF 67 / printed 55	Chapter 3, §4	PDF 67 / printed 55	Personal name preserved
maximal Hilbert transform	极大 Hilbert 变换	harmonic analysis	supremum of truncated Hilbert transforms		needs-review	Chapter 3, §4	PDF 68 / printed 56	Chapter 3, §4	PDF 68 / printed 56	Personal name preserved
