Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		equation	eq:ch2-one-sided-rearrangement	label	tex/chapters/chapter-02-tail.tex:19	tex/chapters/chapter-02-tail.tex:19	defined
target		lemma	lem:ch2-rising-sun	label	tex/chapters/chapter-02-tail.tex:27	tex/chapters/chapter-02-tail.tex:27	defined
target		subsection	subsec:ch2-lorentz-spaces	label	tex/chapters/chapter-02-tail.tex:52	tex/chapters/chapter-02-tail.tex:52	defined
target		subsection	subsec:ch2-l-log-l	label	tex/chapters/chapter-02-tail.tex:83	tex/chapters/chapter-02-tail.tex:83	defined
target		theorem	thm:ch2-l-log-l-characterization	label	tex/chapters/chapter-02-tail.tex:87	tex/chapters/chapter-02-tail.tex:87	defined
target		equation	eq:ch2-maximal-restricted-upper	label	tex/chapters/chapter-02-tail.tex:93	tex/chapters/chapter-02-tail.tex:93	defined
target		equation	eq:ch2-maximal-restricted-lower	label	tex/chapters/chapter-02-tail.tex:97	tex/chapters/chapter-02-tail.tex:97	defined
target		equation	eq:ch2-luxemburg-norm	label	tex/chapters/chapter-02-tail.tex:104	tex/chapters/chapter-02-tail.tex:104	defined
target		subsection	subsec:ch2-size-of-constants	label	tex/chapters/chapter-02-tail.tex:111	tex/chapters/chapter-02-tail.tex:111	defined
target		subsection	subsec:ch2-covering-lemmas	label	tex/chapters/chapter-02-tail.tex:130	tex/chapters/chapter-02-tail.tex:130	defined
target		theorem	thm:ch2-wiener-covering	label	tex/chapters/chapter-02-tail.tex:134	tex/chapters/chapter-02-tail.tex:134	defined
target		theorem	thm:ch2-besicovitch-morse-covering	label	tex/chapters/chapter-02-tail.tex:143	tex/chapters/chapter-02-tail.tex:143	defined
target		subsection	subsec:ch2-nontangential-poisson-maximal	label	tex/chapters/chapter-02-tail.tex:162	tex/chapters/chapter-02-tail.tex:162	defined
target		subsection	subsec:ch2-strong-maximal	label	tex/chapters/chapter-02-tail.tex:183	tex/chapters/chapter-02-tail.tex:183	defined
target		subsection	subsec:ch2-kakeya-maximal	label	tex/chapters/chapter-02-tail.tex:203	tex/chapters/chapter-02-tail.tex:203	defined
target		equation	eq:ch2-kakeya-trivial-bound	label	tex/chapters/chapter-02-tail.tex:210	tex/chapters/chapter-02-tail.tex:210	defined
reference	由于 $f$ 与 $f^*$ 有相同的分布函数, 由 \eqref{eq:ch2-distribution-layer-cake}, 它们的 $L^p$ 范数相等; 任何只依赖分布函数的量也相等(比较下文第~\ref{subsec:ch2-lorentz-spaces}~节). Hardy 算子作用于 $f^*$ 的结果通常记作 $f^{**}$.	equation	eq:ch2-distribution-layer-cake	eqref	tex/chapters/chapter-02-tail.tex:15	tex/chapters/sample.tex:166	resolved
reference	由于 $f$ 与 $f^*$ 有相同的分布函数, 由 \eqref{eq:ch2-distribution-layer-cake}, 它们的 $L^p$ 范数相等; 任何只依赖分布函数的量也相等(比较下文第~\ref{subsec:ch2-lorentz-spaces}~节). Hardy 算子作用于 $f^*$ 的结果通常记作 $f^{**}$.	subsection	subsec:ch2-lorentz-spaces	ref	tex/chapters/chapter-02-tail.tex:15	tex/chapters/chapter-02-tail.tex:52	resolved
reference	给定 $f\in L^1(\mathbb R)$ 与 $\lambda>0$, 定义 $F(x)=\int_0^x|f(t)|\,dt-\lambda x$. 则 $E(\lambda)=\{x:M^+f(x)>\lambda\}=S(F)$. 利用引理~\ref{lem:ch2-rising-sun} 可推出	lemma	lem:ch2-rising-sun	ref	tex/chapters/chapter-02-tail.tex:37	tex/chapters/chapter-02-tail.tex:27	resolved
