Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		chapter	chap:incompressible-mixed-stokes	label	tex/chapters/chapter-03-section-01-part-01.tex:16	tex/chapters/chapter-03-section-01-part-01.tex:16	defined
target		section	sec:incompressible-abstract-mixed-approximation	label	tex/chapters/chapter-03-section-01-part-01.tex:25	tex/chapters/chapter-03-section-01-part-01.tex:25	defined
target		subsection	subsec:incompressible-mixed-variational-problem	label	tex/chapters/chapter-03-section-01-part-01.tex:34	tex/chapters/chapter-03-section-01-part-01.tex:34	defined
target		equation	eq:incompressible-abstract-q-first	label	tex/chapters/chapter-03-section-01-part-01.tex:46	tex/chapters/chapter-03-section-01-part-01.tex:46	defined
target		equation	eq:incompressible-abstract-q-second	label	tex/chapters/chapter-03-section-01-part-01.tex:48	tex/chapters/chapter-03-section-01-part-01.tex:48	defined
target		equation	eq:incompressible-abstract-v-ellipticity	label	tex/chapters/chapter-03-section-01-part-01.tex:59	tex/chapters/chapter-03-section-01-part-01.tex:59	defined
target		equation	eq:incompressible-abstract-inf-sup	label	tex/chapters/chapter-03-section-01-part-01.tex:64	tex/chapters/chapter-03-section-01-part-01.tex:64	defined
target		equation	eq:incompressible-abstract-p	label	tex/chapters/chapter-03-section-01-part-01.tex:72	tex/chapters/chapter-03-section-01-part-01.tex:72	defined
target		equation	eq:incompressible-extended-a	label	tex/chapters/chapter-03-section-01-part-01.tex:113	tex/chapters/chapter-03-section-01-part-01.tex:113	defined
target		equation	eq:incompressible-extended-b	label	tex/chapters/chapter-03-section-01-part-01.tex:116	tex/chapters/chapter-03-section-01-part-01.tex:116	defined
target		equation	eq:incompressible-weak-q-first	label	tex/chapters/chapter-03-section-01-part-01.tex:131	tex/chapters/chapter-03-section-01-part-01.tex:131	defined
target		equation	eq:incompressible-weak-q-second	label	tex/chapters/chapter-03-section-01-part-01.tex:135	tex/chapters/chapter-03-section-01-part-01.tex:135	defined
target		equation	eq:incompressible-weak-affine-set	label	tex/chapters/chapter-03-section-01-part-01.tex:138	tex/chapters/chapter-03-section-01-part-01.tex:138	defined
target		equation	eq:incompressible-weak-kernel	label	tex/chapters/chapter-03-section-01-part-01.tex:145	tex/chapters/chapter-03-section-01-part-01.tex:145	defined
target		equation	eq:incompressible-kernel-inclusions	label	tex/chapters/chapter-03-section-01-part-01.tex:151	tex/chapters/chapter-03-section-01-part-01.tex:151	defined
target		equation	eq:incompressible-weak-p	label	tex/chapters/chapter-03-section-01-part-01.tex:159	tex/chapters/chapter-03-section-01-part-01.tex:159	defined
target		equation	eq:incompressible-weak-v-ellipticity	label	tex/chapters/chapter-03-section-01-part-01.tex:170	tex/chapters/chapter-03-section-01-part-01.tex:170	defined
target		equation	eq:incompressible-restricted-weak-inf-sup	label	tex/chapters/chapter-03-section-01-part-01.tex:181	tex/chapters/chapter-03-section-01-part-01.tex:181	defined
target		theorem	thm:incompressible-weak-mixed-equivalence	label	tex/chapters/chapter-03-section-01-part-01.tex:193	tex/chapters/chapter-03-section-01-part-01.tex:193	defined
target		remark	rem:incompressible-lambda-regularity	label	tex/chapters/chapter-03-section-01-part-01.tex:246	tex/chapters/chapter-03-section-01-part-01.tex:246	defined
target		subsection	subsec:incompressible-abstract-mixed-discretization	label	tex/chapters/chapter-03-section-01-part-02.tex:5	tex/chapters/chapter-03-section-01-part-02.tex:5	defined
target		equation	eq:incompressible-discrete-q-first	label	tex/chapters/chapter-03-section-01-part-02.tex:18	tex/chapters/chapter-03-section-01-part-02.tex:18	defined
target		equation	eq:incompressible-discrete-q-second	label	tex/chapters/chapter-03-section-01-part-02.tex:22	tex/chapters/chapter-03-section-01-part-02.tex:22	defined
target		equation	eq:incompressible-discrete-affine-kernel	label	tex/chapters/chapter-03-section-01-part-02.tex:25	tex/chapters/chapter-03-section-01-part-02.tex:25	defined
target		equation	eq:incompressible-discrete-p	label	tex/chapters/chapter-03-section-01-part-02.tex:37	tex/chapters/chapter-03-section-01-part-02.tex:37	defined
target		equation	eq:incompressible-discrete-vh-ellipticity	label	tex/chapters/chapter-03-section-01-part-02.tex:49	tex/chapters/chapter-03-section-01-part-02.tex:49	defined
target		equation	eq:incompressible-discrete-inf-sup	label	tex/chapters/chapter-03-section-01-part-02.tex:56	tex/chapters/chapter-03-section-01-part-02.tex:56	defined
target		theorem	thm:incompressible-abstract-mixed-error	label	tex/chapters/chapter-03-section-01-part-02.tex:67	tex/chapters/chapter-03-section-01-part-02.tex:67	defined
target		equation	eq:incompressible-velocity-abstract-error	label	tex/chapters/chapter-03-section-01-part-02.tex:72	tex/chapters/chapter-03-section-01-part-02.tex:72	defined
target		equation	eq:incompressible-multiplier-abstract-error	label	tex/chapters/chapter-03-section-01-part-02.tex:94	tex/chapters/chapter-03-section-01-part-02.tex:94	defined
target		equation	eq:incompressible-discrete-multiplier-identity	label	tex/chapters/chapter-03-section-01-part-02.tex:151	tex/chapters/chapter-03-section-01-part-02.tex:151	defined
target		equation	eq:incompressible-mh-norm-comparison	label	tex/chapters/chapter-03-section-01-part-02.tex:184	tex/chapters/chapter-03-section-01-part-02.tex:184	defined
target		corollary	cor:incompressible-abstract-mixed-quasioptimal	label	tex/chapters/chapter-03-section-01-part-02.tex:191	tex/chapters/chapter-03-section-01-part-02.tex:191	defined
target		equation	eq:incompressible-affine-space-approximation	label	tex/chapters/chapter-03-section-01-part-02.tex:196	tex/chapters/chapter-03-section-01-part-02.tex:196	defined
target		equation	eq:incompressible-combined-abstract-error	label	tex/chapters/chapter-03-section-01-part-02.tex:208	tex/chapters/chapter-03-section-01-part-02.tex:208	defined
target		equation	eq:incompressible-scaled-discrete-inf-sup	label	tex/chapters/chapter-03-section-01-part-02.tex:235	tex/chapters/chapter-03-section-01-part-02.tex:235	defined
target		section	sec:incompressible-sfvp	label	tex/chapters/chapter-03-section-02-part-01.tex:5	tex/chapters/chapter-03-section-02-part-01.tex:5	defined
target		subsection	subsec:incompressible-sfvp-mixed-formulation	label	tex/chapters/chapter-03-section-02-part-01.tex:53	tex/chapters/chapter-03-section-02-part-01.tex:53	defined
target		equation	eq:incompressible-sfvp-stokes	label	tex/chapters/chapter-03-section-02-part-01.tex:63	tex/chapters/chapter-03-section-02-part-01.tex:63	defined
target		theorem	thm:incompressible-stream-vorticity-wellposed	label	tex/chapters/chapter-03-section-02-part-01.tex:78	tex/chapters/chapter-03-section-02-part-01.tex:78	defined
target		equation	eq:incompressible-weak-four-field-spaces	label	tex/chapters/chapter-03-section-02-part-01.tex:123	tex/chapters/chapter-03-section-02-part-01.tex:123	defined
target		equation	eq:incompressible-weak-four-field-forms	label	tex/chapters/chapter-03-section-02-part-01.tex:138	tex/chapters/chapter-03-section-02-part-01.tex:138	defined
target		equation	eq:incompressible-weak-four-field	label	tex/chapters/chapter-03-section-02-part-01.tex:159	tex/chapters/chapter-03-section-02-part-01.tex:159	defined
target		equation	eq:incompressible-weak-four-field-kernel	label	tex/chapters/chapter-03-section-02-part-01.tex:175	tex/chapters/chapter-03-section-02-part-01.tex:175	defined
target		equation	eq:incompressible-vorticity-seminorm	label	tex/chapters/chapter-03-section-02-part-01.tex:183	tex/chapters/chapter-03-section-02-part-01.tex:183	defined
target		lemma	lem:incompressible-weak-kernel-coincidence	label	tex/chapters/chapter-03-section-02-part-01.tex:188	tex/chapters/chapter-03-section-02-part-01.tex:188	defined
target		equation	eq:incompressible-velocity-by-vorticity	label	tex/chapters/chapter-03-section-02-part-01.tex:222	tex/chapters/chapter-03-section-02-part-01.tex:222	defined
target		theorem	thm:incompressible-weak-four-field-equivalence	label	tex/chapters/chapter-03-section-02-part-01.tex:234	tex/chapters/chapter-03-section-02-part-01.tex:234	defined
target		equation	eq:incompressible-stokes-weak-regularity	label	tex/chapters/chapter-03-section-02-part-01.tex:237	tex/chapters/chapter-03-section-02-part-01.tex:237	defined
target		remark	rem:incompressible-weak-regularity-sufficient	label	tex/chapters/chapter-03-section-02-part-01.tex:272	tex/chapters/chapter-03-section-02-part-01.tex:272	defined
target		equation	eq:incompressible-stream-space-phi-s	label	tex/chapters/chapter-03-section-02-part-01.tex:301	tex/chapters/chapter-03-section-02-part-01.tex:301	defined
target		equation	eq:incompressible-weak-stream-three-field	label	tex/chapters/chapter-03-section-02-part-01.tex:324	tex/chapters/chapter-03-section-02-part-01.tex:324	defined
target		corollary	cor:incompressible-weak-stream-unique	label	tex/chapters/chapter-03-section-02-part-01.tex:341	tex/chapters/chapter-03-section-02-part-01.tex:341	defined
target		theorem	thm:incompressible-decoupled-stream-pressure	label	tex/chapters/chapter-03-section-02-part-01.tex:356	tex/chapters/chapter-03-section-02-part-01.tex:356	defined
target		equation	eq:incompressible-decoupled-stream-vorticity	label	tex/chapters/chapter-03-section-02-part-01.tex:363	tex/chapters/chapter-03-section-02-part-01.tex:363	defined
target		equation	eq:incompressible-decoupled-pressure	label	tex/chapters/chapter-03-section-02-part-01.tex:380	tex/chapters/chapter-03-section-02-part-01.tex:380	defined
target		equation	eq:incompressible-grad-curl-identity	label	tex/chapters/chapter-03-section-02-part-01.tex:435	tex/chapters/chapter-03-section-02-part-01.tex:435	defined
target		equation	eq:incompressible-velocity-vorticity-pressure	label	tex/chapters/chapter-03-section-02-part-01.tex:445	tex/chapters/chapter-03-section-02-part-01.tex:445	defined
target		equation	eq:incompressible-sfvp-abstract-forms	label	tex/chapters/chapter-03-section-02-part-01.tex:477	tex/chapters/chapter-03-section-02-part-01.tex:477	defined
target		equation	eq:incompressible-sfvp-abstract-data	label	tex/chapters/chapter-03-section-02-part-01.tex:489	tex/chapters/chapter-03-section-02-part-01.tex:489	defined
target		equation	eq:incompressible-sfvp-four-field	label	tex/chapters/chapter-03-section-02-part-01.tex:499	tex/chapters/chapter-03-section-02-part-01.tex:499	defined
target		theorem	thm:incompressible-sfvp-four-field-equivalence	label	tex/chapters/chapter-03-section-02-part-01.tex:525	tex/chapters/chapter-03-section-02-part-01.tex:525	defined
target		equation	eq:incompressible-stream-space-psi	label	tex/chapters/chapter-03-section-02-part-01.tex:556	tex/chapters/chapter-03-section-02-part-01.tex:556	defined
target		equation	eq:incompressible-stream-vorticity-pair	label	tex/chapters/chapter-03-section-02-part-01.tex:581	tex/chapters/chapter-03-section-02-part-01.tex:581	defined
target		equation	eq:incompressible-stream-vorticity-multiplier	label	tex/chapters/chapter-03-section-02-part-01.tex:595	tex/chapters/chapter-03-section-02-part-01.tex:595	defined
target		equation	eq:incompressible-stream-abstract-interpretation	label	tex/chapters/chapter-03-section-02-part-01.tex:608	tex/chapters/chapter-03-section-02-part-01.tex:608	defined
target		subsection	subsec:incompressible-sfvp-mixed-approximation	label	tex/chapters/chapter-03-section-02-part-02.tex:5	tex/chapters/chapter-03-section-02-part-02.tex:5	defined
target		equation	eq:incompressible-sfvp-discrete-spaces	label	tex/chapters/chapter-03-section-02-part-02.tex:46	tex/chapters/chapter-03-section-02-part-02.tex:46	defined
