Original Reference	Target Object	LaTeX Label	Translation Location	Status
[24]	Bibliographic entry 24	bib:source-24	tex/frontmatter.tex:7	deferred-known-target
Chapter I	The equations of fluid mechanics	chap:fluid-mechanics-equations	tex/frontmatter.tex:7	deferred-known-target
Chapter II	Analysis tools	chap:analysis-tools	tex/frontmatter.tex:9	deferred-known-target
Chapter III	Sobolev spaces	chap:sobolev-spaces	tex/frontmatter.tex:11	deferred-known-target
Section III.1	Domains	sec:ch03-domains	tex/frontmatter.tex:11	deferred-known-target
Section III.2	Sobolev spaces on Lipschitz domains	sec:ch03-sobolev-spaces-on-lipschitz-domains	tex/frontmatter.tex:11	deferred-known-target
Section III.3	Calculus near the boundary of domains	sec:ch03-calculus-near-boundary	tex/frontmatter.tex:11	deferred-known-target
Section III.4	The Laplace problem	sec:ch03-laplace-problem	tex/frontmatter.tex:11	deferred-known-target
Chapter IV	Steady Stokes equations	chap:steady-stokes-equations	tex/frontmatter.tex:13	deferred-known-target
Section IV.1	Nečas inequality	sec:ch04-necas-inequality	tex/frontmatter.tex:13	deferred-known-target
Section IV.2	Characterisation of gradient fields	sec:ch04-gradient-fields	tex/frontmatter.tex:13	deferred-known-target
Section IV.3	The divergence operator and related spaces	sec:ch04-divergence-operator	tex/frontmatter.tex:13	deferred-known-target
Section IV.4	The curl operator and related spaces	sec:ch04-curl-operator	tex/frontmatter.tex:13	deferred-known-target
Section IV.5	The Stokes problem	sec:ch04-stokes-problem	tex/frontmatter.tex:13	deferred-known-target
Section IV.6	Regularity of the Stokes problem	sec:ch04-stokes-regularity	tex/frontmatter.tex:13	deferred-known-target
Section IV.7	Stress boundary conditions	sec:ch04-stress-boundary	tex/frontmatter.tex:13	deferred-known-target
Section IV.8	The interface Stokes problem	sec:ch04-interface-stokes	tex/frontmatter.tex:13	deferred-known-target
Section IV.9	Vorticity boundary conditions	sec:ch04-vorticity-boundary	tex/frontmatter.tex:13	deferred-known-target
Chapter V	Navier-Stokes equations for homogeneous fluids	chap:homogeneous-navier-stokes	tex/frontmatter.tex:15	deferred-known-target
Chapter VI	Nonhomogeneous fluids	chap:nonhomogeneous-fluids	tex/frontmatter.tex:17	deferred-known-target
Section VI.1	Weak solutions of the transport equation	sec:ch06-transport-equation	tex/frontmatter.tex:17	deferred-known-target
Section VI.2	Nonhomogeneous incompressible Navier-Stokes equations	sec:ch06-nonhomogeneous-navier-stokes	tex/frontmatter.tex:17	deferred-known-target
Chapter VII	Boundary conditions modelling	chap:boundary-conditions-modelling	tex/frontmatter.tex:19	deferred-known-target
Section VII.1	Outflow boundary conditions	sec:ch07-outflow-boundary	tex/frontmatter.tex:19	deferred-known-target
Section VII.2	Dirichlet boundary conditions through a penalty method	sec:ch07-penalty-dirichlet	tex/frontmatter.tex:19	deferred-known-target
