English	Preferred Chinese	Domain	Context	Forbidden Alternatives	Status	First Source	First Location	Last Verified Source	Last Verified Location	Notes
closed range theorem	闭值域定理	functional analysis	Banach closed-range result used in the proof of Lemma 2.1		candidate	Chapter I, §2	PDF 37 / printed 23	Chapter I, §2	PDF 37 / printed 23	Book-local candidate; personal name in eponym remains unchanged
polar set	极集	functional analysis	annihilator of V in the stated dual space		candidate	Chapter I, §2	PDF 37 / printed 23	Chapter I, §2	PDF 37 / printed 23	
lifting operator	提升算子	functional analysis	boundary-value lifting by a divergence-free field		candidate	Chapter I, §2	PDF 38 / printed 24	Chapter I, §2	PDF 38 / printed 24	
divergence-free	无散	partial differential equations	vector field with zero divergence		candidate	Chapter I, §2	PDF 38 / printed 24	Chapter I, §3	PDF 55 / printed 41	
mollifier	磨光子	functional analysis	compactly supported regularizing sequence		candidate	Chapter I, §2	PDF 39 / printed 25	Chapter I, §2	PDF 47 / printed 33	
normal component	法向分量	functional analysis	boundary trace v dot n		candidate	Chapter I, §2	PDF 41 / printed 27	Chapter I, §3	PDF 55 / printed 41	
tangential trace	切向迹	functional analysis	boundary trace associated with H(curl)		candidate	Chapter I, §2	PDF 48 / printed 34	Chapter I, §2	PDF 49 / printed 35	
partition of unity	单位分解	analysis	subordinate smooth partition used in localization		candidate	Chapter I, §2	PDF 47 / printed 33	Chapter I, §2	PDF 48 / printed 34	
stream function	流函数	partial differential equations	potential whose curl is the vector field		candidate	Chapter I, §3	PDF 51 / printed 37	Chapter I, §3	PDF 55 / printed 41	
multiply-connected	多连通	geometry	domain with multiple boundary components		candidate	Chapter I, §3	PDF 51 / printed 37	Chapter I, §3	PDF 52 / printed 38	
