Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		chapter	chap:evolution-navier-stokes	label	tex/chapters/chapter-03.tex:5	tex/chapters/chapter-03.tex:5	defined
target		section	sec:ch3-linear-case	label	tex/chapters/chapter-03/section-01.tex:10	tex/chapters/chapter-03/section-01.tex:10	defined
target		subsection	subsec:ch3-linear-notation	label	tex/chapters/chapter-03/section-01.tex:14	tex/chapters/chapter-03/section-01.tex:14	defined
target		equation	eq:ch3-linear-test-space	label	tex/chapters/chapter-03/section-01.tex:18	tex/chapters/chapter-03/section-01.tex:18	defined
target		equation	eq:ch3-linear-v-space	label	tex/chapters/chapter-03/section-01.tex:22	tex/chapters/chapter-03/section-01.tex:22	defined
target		equation	eq:ch3-linear-h-space	label	tex/chapters/chapter-03/section-01.tex:28	tex/chapters/chapter-03/section-01.tex:28	defined
target		equation	eq:ch3-linear-v-inner-product	label	tex/chapters/chapter-03/section-01.tex:33	tex/chapters/chapter-03/section-01.tex:33	defined
target		equation	eq:ch3-linear-gelfand-triple	label	tex/chapters/chapter-03/section-01.tex:40	tex/chapters/chapter-03/section-01.tex:40	defined
target		equation	eq:ch3-linear-duality-inner-product	label	tex/chapters/chapter-03/section-01.tex:48	tex/chapters/chapter-03/section-01.tex:48	defined
target		equation	eq:ch3-linear-form-on-v	label	tex/chapters/chapter-03/section-01.tex:53	tex/chapters/chapter-03/section-01.tex:53	defined
target		equation	eq:ch3-linear-operator-a	label	tex/chapters/chapter-03/section-01.tex:59	tex/chapters/chapter-03/section-01.tex:59	defined
target		equation	eq:ch3-linear-unbounded-v-inner-product	label	tex/chapters/chapter-03/section-01.tex:66	tex/chapters/chapter-03/section-01.tex:66	defined
target		equation	eq:ch3-linear-bochner-lp-norm	label	tex/chapters/chapter-03/section-01.tex:73	tex/chapters/chapter-03/section-01.tex:73	defined
target		equation	eq:ch3-linear-bochner-linfty-norm	label	tex/chapters/chapter-03/section-01.tex:78	tex/chapters/chapter-03/section-01.tex:78	defined
target		equation	eq:ch3-linear-continuous-function-norm	label	tex/chapters/chapter-03/section-01.tex:85	tex/chapters/chapter-03/section-01.tex:85	defined
target		equation	eq:ch3-linear-condensed-lp-notation	label	tex/chapters/chapter-03/section-01.tex:91	tex/chapters/chapter-03/section-01.tex:91	defined
target		equation	eq:ch3-linear-condensed-c-notation	label	tex/chapters/chapter-03/section-01.tex:95	tex/chapters/chapter-03/section-01.tex:95	defined
target		lemma	lem:ch3-linear-banach-valued-derivative	label	tex/chapters/chapter-03/section-01.tex:102	tex/chapters/chapter-03/section-01.tex:102	defined
target		equation	eq:ch3-linear-banach-primitive	label	tex/chapters/chapter-03/section-01.tex:110	tex/chapters/chapter-03/section-01.tex:110	defined
target		equation	eq:ch3-linear-banach-weak-derivative	label	tex/chapters/chapter-03/section-01.tex:118	tex/chapters/chapter-03/section-01.tex:118	defined
target		equation	eq:ch3-linear-banach-scalar-distribution	label	tex/chapters/chapter-03/section-01.tex:124	tex/chapters/chapter-03/section-01.tex:124	defined
target		equation	eq:ch3-linear-scalar-integration-by-parts	label	tex/chapters/chapter-03/section-01.tex:138	tex/chapters/chapter-03/section-01.tex:138	defined
target		equation	eq:ch3-linear-primitive-u-zero	label	tex/chapters/chapter-03/section-01.tex:153	tex/chapters/chapter-03/section-01.tex:153	defined
target		equation	eq:ch3-linear-zero-distributional-derivative	label	tex/chapters/chapter-03/section-01.tex:161	tex/chapters/chapter-03/section-01.tex:161	defined
target		equation	eq:ch3-linear-test-function-decomposition	label	tex/chapters/chapter-03/section-01.tex:175	tex/chapters/chapter-03/section-01.tex:175	defined
target		equation	eq:ch3-linear-vector-distribution-constant	label	tex/chapters/chapter-03/section-01.tex:185	tex/chapters/chapter-03/section-01.tex:185	defined
target		equation	eq:ch3-linear-zero-vector-distribution	label	tex/chapters/chapter-03/section-01.tex:196	tex/chapters/chapter-03/section-01.tex:196	defined
target		subsection	subsec:ch3-linear-existence-uniqueness	label	tex/chapters/chapter-03/section-01.tex:211	tex/chapters/chapter-03/section-01.tex:211	defined
target		equation	eq:ch3-linear-momentum	label	tex/chapters/chapter-03/section-01.tex:218	tex/chapters/chapter-03/section-01.tex:218	defined
target		equation	eq:ch3-linear-incompressibility	label	tex/chapters/chapter-03/section-01.tex:222	tex/chapters/chapter-03/section-01.tex:222	defined
target		equation	eq:ch3-linear-boundary-condition	label	tex/chapters/chapter-03/section-01.tex:226	tex/chapters/chapter-03/section-01.tex:226	defined
target		equation	eq:ch3-linear-initial-condition	label	tex/chapters/chapter-03/section-01.tex:230	tex/chapters/chapter-03/section-01.tex:230	defined
target		equation	eq:ch3-linear-classical-variational-identity	label	tex/chapters/chapter-03/section-01.tex:237	tex/chapters/chapter-03/section-01.tex:237	defined
target		equation	eq:ch3-linear-force-assumption	label	tex/chapters/chapter-03/section-01.tex:246	tex/chapters/chapter-03/section-01.tex:246	defined
target		equation	eq:ch3-linear-initial-data-assumption	label	tex/chapters/chapter-03/section-01.tex:250	tex/chapters/chapter-03/section-01.tex:250	defined
target		equation	eq:ch3-linear-weak-solution-space	label	tex/chapters/chapter-03/section-01.tex:255	tex/chapters/chapter-03/section-01.tex:255	defined
target		equation	eq:ch3-linear-weak-variational-equation	label	tex/chapters/chapter-03/section-01.tex:261	tex/chapters/chapter-03/section-01.tex:261	defined
target		equation	eq:ch3-linear-weak-initial-condition	label	tex/chapters/chapter-03/section-01.tex:265	tex/chapters/chapter-03/section-01.tex:265	defined
target		equation	eq:ch3-linear-dual-evolution-identity	label	tex/chapters/chapter-03/section-01.tex:278	tex/chapters/chapter-03/section-01.tex:278	defined
target		equation	eq:ch3-linear-time-derivative-space	label	tex/chapters/chapter-03/section-01.tex:283	tex/chapters/chapter-03/section-01.tex:283	defined
target		equation	eq:ch3-linear-abstract-evolution-equation	label	tex/chapters/chapter-03/section-01.tex:290	tex/chapters/chapter-03/section-01.tex:290	defined
target		equation	eq:ch3-linear-abstract-solution-spaces	label	tex/chapters/chapter-03/section-01.tex:298	tex/chapters/chapter-03/section-01.tex:298	defined
target		equation	eq:ch3-linear-abstract-problem	label	tex/chapters/chapter-03/section-01.tex:302	tex/chapters/chapter-03/section-01.tex:302	defined
target		equation	eq:ch3-linear-abstract-initial-data	label	tex/chapters/chapter-03/section-01.tex:306	tex/chapters/chapter-03/section-01.tex:306	defined
target		theorem	thm:ch3-linear-existence-uniqueness	label	tex/chapters/chapter-03/section-01.tex:312	tex/chapters/chapter-03/section-01.tex:312	defined
target		equation	eq:ch3-linear-h-continuity	label	tex/chapters/chapter-03/section-01.tex:316	tex/chapters/chapter-03/section-01.tex:316	defined
target		subsection	subsec:ch3-linear-existence-proof	label	tex/chapters/chapter-03/section-01.tex:323	tex/chapters/chapter-03/section-01.tex:323	defined
target		equation	eq:ch3-linear-galerkin-expansion	label	tex/chapters/chapter-03/section-01.tex:327	tex/chapters/chapter-03/section-01.tex:327	defined
target		equation	eq:ch3-linear-galerkin-equations	label	tex/chapters/chapter-03/section-01.tex:332	tex/chapters/chapter-03/section-01.tex:332	defined
target		equation	eq:ch3-linear-galerkin-initial-condition	label	tex/chapters/chapter-03/section-01.tex:336	tex/chapters/chapter-03/section-01.tex:336	defined
target		equation	eq:ch3-linear-galerkin-coordinate-system	label	tex/chapters/chapter-03/section-01.tex:348	tex/chapters/chapter-03/section-01.tex:348	defined
target		equation	eq:ch3-linear-galerkin-constant-coefficient-system	label	tex/chapters/chapter-03/section-01.tex:355	tex/chapters/chapter-03/section-01.tex:355	defined
target		equation	eq:ch3-linear-galerkin-coordinate-initial-data	label	tex/chapters/chapter-03/section-01.tex:360	tex/chapters/chapter-03/section-01.tex:360	defined
target		equation	eq:ch3-linear-galerkin-regularity	label	tex/chapters/chapter-03/section-01.tex:368	tex/chapters/chapter-03/section-01.tex:368	defined
target		equation	eq:ch3-linear-galerkin-energy-identity	label	tex/chapters/chapter-03/section-01.tex:386	tex/chapters/chapter-03/section-01.tex:386	defined
target		equation	eq:ch3-linear-galerkin-energy-inequality	label	tex/chapters/chapter-03/section-01.tex:398	tex/chapters/chapter-03/section-01.tex:398	defined
target		equation	eq:ch3-linear-galerkin-pointwise-bound	label	tex/chapters/chapter-03/section-01.tex:405	tex/chapters/chapter-03/section-01.tex:405	defined
target		equation	eq:ch3-linear-galerkin-uniform-bound	label	tex/chapters/chapter-03/section-01.tex:413	tex/chapters/chapter-03/section-01.tex:413	defined
target		equation	eq:ch3-linear-galerkin-linfty-boundedness	label	tex/chapters/chapter-03/section-01.tex:418	tex/chapters/chapter-03/section-01.tex:418	defined
target		equation	eq:ch3-linear-galerkin-integrated-bound	label	tex/chapters/chapter-03/section-01.tex:427	tex/chapters/chapter-03/section-01.tex:427	defined
target		equation	eq:ch3-linear-galerkin-l2-boundedness	label	tex/chapters/chapter-03/section-01.tex:432	tex/chapters/chapter-03/section-01.tex:432	defined
target		equation	eq:ch3-linear-galerkin-weak-star-convergence	label	tex/chapters/chapter-03/section-01.tex:439	tex/chapters/chapter-03/section-01.tex:439	defined
target		equation	eq:ch3-linear-galerkin-weak-star-definition	label	tex/chapters/chapter-03/section-01.tex:445	tex/chapters/chapter-03/section-01.tex:445	defined
target		equation	eq:ch3-linear-galerkin-v-weak-convergence	label	tex/chapters/chapter-03/section-01.tex:452	tex/chapters/chapter-03/section-01.tex:452	defined
target		equation	eq:ch3-linear-galerkin-h-pairing-limit	label	tex/chapters/chapter-03/section-01.tex:463	tex/chapters/chapter-03/section-01.tex:463	defined
target		equation	eq:ch3-linear-identification-integral	label	tex/chapters/chapter-03/section-01.tex:468	tex/chapters/chapter-03/section-01.tex:468	defined
target		equation	eq:ch3-linear-limit-solution-spaces	label	tex/chapters/chapter-03/section-01.tex:473	tex/chapters/chapter-03/section-01.tex:473	defined
target		equation	eq:ch3-linear-time-test-terminal-condition	label	tex/chapters/chapter-03/section-01.tex:478	tex/chapters/chapter-03/section-01.tex:478	defined
target		equation	eq:ch3-linear-galerkin-integrated-test-equation	label	tex/chapters/chapter-03/section-01.tex:497	tex/chapters/chapter-03/section-01.tex:497	defined
target		equation	eq:ch3-linear-initial-projection-convergence	label	tex/chapters/chapter-03/section-01.tex:502	tex/chapters/chapter-03/section-01.tex:502	defined
target		equation	eq:ch3-linear-limit-test-equation-basis	label	tex/chapters/chapter-03/section-01.tex:512	tex/chapters/chapter-03/section-01.tex:512	defined
target		equation	eq:ch3-linear-limit-test-equation	label	tex/chapters/chapter-03/section-01.tex:522	tex/chapters/chapter-03/section-01.tex:522	defined
target		equation	eq:ch3-linear-limit-variational-equation	label	tex/chapters/chapter-03/section-01.tex:530	tex/chapters/chapter-03/section-01.tex:530	defined
target		equation	eq:ch3-linear-limit-abstract-equation	label	tex/chapters/chapter-03/section-01.tex:535	tex/chapters/chapter-03/section-01.tex:535	defined
target		equation	eq:ch3-linear-initial-trace-identity	label	tex/chapters/chapter-03/section-01.tex:553	tex/chapters/chapter-03/section-01.tex:553	defined
target		subsection	subsec:ch3-linear-continuity-uniqueness	label	tex/chapters/chapter-03/section-01.tex:567	tex/chapters/chapter-03/section-01.tex:567	defined
target		lemma	lem:ch3-linear-lions-magenes-continuity	label	tex/chapters/chapter-03/section-01.tex:572	tex/chapters/chapter-03/section-01.tex:572	defined
target		equation	eq:ch3-linear-energy-derivative-identity	label	tex/chapters/chapter-03/section-01.tex:576	tex/chapters/chapter-03/section-01.tex:576	defined
target		equation	eq:ch3-linear-uniqueness-difference-equation	label	tex/chapters/chapter-03/section-01.tex:592	tex/chapters/chapter-03/section-01.tex:592	defined
target		lemma	lem:ch3-linear-energy-identity-distributional	label	tex/chapters/chapter-03/section-01.tex:615	tex/chapters/chapter-03/section-01.tex:615	defined
target		equation	eq:ch3-linear-regularized-sequence	label	tex/chapters/chapter-03/section-01.tex:627	tex/chapters/chapter-03/section-01.tex:627	defined
target		equation	eq:ch3-linear-regularized-energy-identity	label	tex/chapters/chapter-03/section-01.tex:635	tex/chapters/chapter-03/section-01.tex:635	defined
target		equation	eq:ch3-linear-energy-linfty-consequence	label	tex/chapters/chapter-03/section-01.tex:652	tex/chapters/chapter-03/section-01.tex:652	defined
target		equation	eq:ch3-linear-h-weak-continuity	label	tex/chapters/chapter-03/section-01.tex:659	tex/chapters/chapter-03/section-01.tex:659	defined
target		equation	eq:ch3-linear-h-strong-continuity-goal	label	tex/chapters/chapter-03/section-01.tex:665	tex/chapters/chapter-03/section-01.tex:665	defined
target		lemma	lem:ch3-linear-weak-continuity-transfer	label	tex/chapters/chapter-03/section-01.tex:687	tex/chapters/chapter-03/section-01.tex:687	defined
target		equation	eq:ch3-linear-banach-continuous-injection	label	tex/chapters/chapter-03/section-01.tex:691	tex/chapters/chapter-03/section-01.tex:691	defined
target		equation	eq:ch3-linear-dual-dense-injection	label	tex/chapters/chapter-03/section-01.tex:700	tex/chapters/chapter-03/section-01.tex:700	defined
target		equation	eq:ch3-linear-y-weak-continuity	label	tex/chapters/chapter-03/section-01.tex:706	tex/chapters/chapter-03/section-01.tex:706	defined
target		equation	eq:ch3-linear-pointwise-x-bound	label	tex/chapters/chapter-03/section-01.tex:714	tex/chapters/chapter-03/section-01.tex:714	defined
target		subsection	subsec:ch3-linear-miscellaneous	label	tex/chapters/chapter-03/section-01.tex:768	tex/chapters/chapter-03/section-01.tex:768	defined
target		equation	eq:ch3-linear-split-force-assumption	label	tex/chapters/chapter-03/section-01.tex:779	tex/chapters/chapter-03/section-01.tex:779	defined
target		equation	eq:ch3-linear-split-derivative-space	label	tex/chapters/chapter-03/section-01.tex:784	tex/chapters/chapter-03/section-01.tex:784	defined
target		equation	eq:ch3-linear-split-force-energy-bound	label	tex/chapters/chapter-03/section-01.tex:796	tex/chapters/chapter-03/section-01.tex:796	defined
target		equation	eq:ch3-linear-split-force-gronwall-inequality	label	tex/chapters/chapter-03/section-01.tex:803	tex/chapters/chapter-03/section-01.tex:803	defined
target		equation	eq:ch3-linear-split-force-derivative	label	tex/chapters/chapter-03/section-01.tex:824	tex/chapters/chapter-03/section-01.tex:824	defined
target		equation	eq:ch3-linear-extended-continuity-assumptions	label	tex/chapters/chapter-03/section-01.tex:831	tex/chapters/chapter-03/section-01.tex:831	defined
target		equation	eq:ch3-linear-unbounded-energy-bound	label	tex/chapters/chapter-03/section-01.tex:847	tex/chapters/chapter-03/section-01.tex:847	defined
target		equation	eq:ch3-linear-unbounded-gronwall-inequality	label	tex/chapters/chapter-03/section-01.tex:854	tex/chapters/chapter-03/section-01.tex:854	defined
target		proposition	prop:ch3-linear-pressure-distribution	label	tex/chapters/chapter-03/section-01.tex:867	tex/chapters/chapter-03/section-01.tex:867	defined
target		equation	eq:ch3-linear-initial-l2-convergence	label	tex/chapters/chapter-03/section-01.tex:872	tex/chapters/chapter-03/section-01.tex:872	defined
target		equation	eq:ch3-linear-integrated-velocity-force	label	tex/chapters/chapter-03/section-01.tex:884	tex/chapters/chapter-03/section-01.tex:884	defined
target		equation	eq:ch3-linear-integrated-variational-equation	label	tex/chapters/chapter-03/section-01.tex:896	tex/chapters/chapter-03/section-01.tex:896	defined
target		equation	eq:ch3-linear-integrated-pressure-equation	label	tex/chapters/chapter-03/section-01.tex:908	tex/chapters/chapter-03/section-01.tex:908	defined
target		equation	eq:ch3-linear-pressure-gradient	label	tex/chapters/chapter-03/section-01.tex:913	tex/chapters/chapter-03/section-01.tex:913	defined
target		equation	eq:ch3-linear-integrated-pressure-continuity	label	tex/chapters/chapter-03/section-01.tex:918	tex/chapters/chapter-03/section-01.tex:918	defined
target		equation	eq:ch3-linear-pressure-time-derivative	label	tex/chapters/chapter-03/section-01.tex:923	tex/chapters/chapter-03/section-01.tex:923	defined
target		proposition	prop:ch3-linear-regularity	label	tex/chapters/chapter-03/section-01.tex:935	tex/chapters/chapter-03/section-01.tex:935	defined
target		equation	eq:ch3-linear-regularity-force	label	tex/chapters/chapter-03/section-01.tex:939	tex/chapters/chapter-03/section-01.tex:939	defined
target		equation	eq:ch3-linear-regularity-initial-data	label	tex/chapters/chapter-03/section-01.tex:944	tex/chapters/chapter-03/section-01.tex:944	defined
target		equation	eq:ch3-linear-spatial-h2-regularity	label	tex/chapters/chapter-03/section-01.tex:949	tex/chapters/chapter-03/section-01.tex:949	defined
target		equation	eq:ch3-linear-time-l2-regularity	label	tex/chapters/chapter-03/section-01.tex:954	tex/chapters/chapter-03/section-01.tex:954	defined
target		equation	eq:ch3-linear-pressure-h1-regularity	label	tex/chapters/chapter-03/section-01.tex:958	tex/chapters/chapter-03/section-01.tex:958	defined
target		equation	eq:ch3-linear-higher-energy-printed-relation	label	tex/chapters/chapter-03/section-01.tex:973	tex/chapters/chapter-03/section-01.tex:973	defined
target		equation	eq:ch3-linear-time-derivative-apriori-bound	label	tex/chapters/chapter-03/section-01.tex:989	tex/chapters/chapter-03/section-01.tex:989	defined
target		equation	eq:ch3-linear-v-projection-convergence	label	tex/chapters/chapter-03/section-01.tex:1000	tex/chapters/chapter-03/section-01.tex:1000	defined
target		equation	eq:ch3-linear-v-projection-bound	label	tex/chapters/chapter-03/section-01.tex:1005	tex/chapters/chapter-03/section-01.tex:1005	defined
target		equation	eq:ch3-linear-galerkin-time-derivative-boundedness	label	tex/chapters/chapter-03/section-01.tex:1010	tex/chapters/chapter-03/section-01.tex:1010	defined
target		equation	eq:ch3-linear-stationary-regularity-system	label	tex/chapters/chapter-03/section-01.tex:1024	tex/chapters/chapter-03/section-01.tex:1024	defined
target		section	sec:ch3-compactness	label	tex/chapters/chapter-03/section-02.tex:3	tex/chapters/chapter-03/section-02.tex:3	defined
target		subsection	subsec:ch3-compactness-preliminary	label	tex/chapters/chapter-03/section-02.tex:12	tex/chapters/chapter-03/section-02.tex:12	defined
target		lemma	lem:ch3-compactness-interpolation	label	tex/chapters/chapter-03/section-02.tex:17	tex/chapters/chapter-03/section-02.tex:17	defined
