Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		unknown	front:preface	label	tex/frontmatter.tex:8	tex/frontmatter.tex:8	defined
target		unknown	front:preliminaries	label	tex/frontmatter.tex:44	tex/frontmatter.tex:44	defined
reference	我们在第 \ref{chap:fourier-series-integrals} 章先回顾 Fourier 级数和 Fourier 积分, 然后在第 \ref{chap:hardy-littlewood-maximal-function} 章和第 \ref{chap:hilbert-transform} 章介绍该领域的两个基本算子: Hardy--Littlewood 极大函数和 Hilbert 变换. 尽管它们早于 Calderón 与 Zygmund 的方法出现, 我们仍从他们的观点来处理这些算子. 这些方法旨在研究 Hilbert 变换在高维中的类似物; 它们在应用中十分重要. 这类算子称为奇异积分, 我们在第 \ref{chap:singular-integrals-one} 章和第 \ref{chap:singular-integrals-two} 章中讨论它们及其现代推广. 随后我们考察 20 世纪 70 年代出现的众多成果中的两项. 第 \ref{chap:h1-and-bmo} 章研究 $H^1$、BMO 与奇异积分之间的关系, 第 \ref{chap:weighted-inequalities} 章介绍加权范数不等式的初等理论. 第 \ref{chap:littlewood-paley-multipliers} 章讨论 Littlewood--Paley 理论; 它起源于 20 世纪 30 年代, 此后得到广泛发展, 并包含许多应用. 本章给出的应用可用于研究 Fourier 乘子, 其中也会使用加权不等式理论. 全书以 20 世纪 80 年代的一项重要结果结束, 即所谓的 $T1$ 定理; 它对这一领域具有关键意义.	chapter	chap:fourier-series-integrals	ref	tex/frontmatter.tex:13	tex/chapters/chapter-01.tex:5	resolved
reference	我们在第 \ref{chap:fourier-series-integrals} 章先回顾 Fourier 级数和 Fourier 积分, 然后在第 \ref{chap:hardy-littlewood-maximal-function} 章和第 \ref{chap:hilbert-transform} 章介绍该领域的两个基本算子: Hardy--Littlewood 极大函数和 Hilbert 变换. 尽管它们早于 Calderón 与 Zygmund 的方法出现, 我们仍从他们的观点来处理这些算子. 这些方法旨在研究 Hilbert 变换在高维中的类似物; 它们在应用中十分重要. 这类算子称为奇异积分, 我们在第 \ref{chap:singular-integrals-one} 章和第 \ref{chap:singular-integrals-two} 章中讨论它们及其现代推广. 随后我们考察 20 世纪 70 年代出现的众多成果中的两项. 第 \ref{chap:h1-and-bmo} 章研究 $H^1$、BMO 与奇异积分之间的关系, 第 \ref{chap:weighted-inequalities} 章介绍加权范数不等式的初等理论. 第 \ref{chap:littlewood-paley-multipliers} 章讨论 Littlewood--Paley 理论; 它起源于 20 世纪 30 年代, 此后得到广泛发展, 并包含许多应用. 本章给出的应用可用于研究 Fourier 乘子, 其中也会使用加权不等式理论. 全书以 20 世纪 80 年代的一项重要结果结束, 即所谓的 $T1$ 定理; 它对这一领域具有关键意义.	chapter	chap:hardy-littlewood-maximal-function	ref	tex/frontmatter.tex:13	tex/chapters/sample.tex:5	resolved
reference	我们在第 \ref{chap:fourier-series-integrals} 章先回顾 Fourier 级数和 Fourier 积分, 然后在第 \ref{chap:hardy-littlewood-maximal-function} 章和第 \ref{chap:hilbert-transform} 章介绍该领域的两个基本算子: Hardy--Littlewood 极大函数和 Hilbert 变换. 尽管它们早于 Calderón 与 Zygmund 的方法出现, 我们仍从他们的观点来处理这些算子. 这些方法旨在研究 Hilbert 变换在高维中的类似物; 它们在应用中十分重要. 这类算子称为奇异积分, 我们在第 \ref{chap:singular-integrals-one} 章和第 \ref{chap:singular-integrals-two} 章中讨论它们及其现代推广. 随后我们考察 20 世纪 70 年代出现的众多成果中的两项. 第 \ref{chap:h1-and-bmo} 章研究 $H^1$、BMO 与奇异积分之间的关系, 第 \ref{chap:weighted-inequalities} 章介绍加权范数不等式的初等理论. 第 \ref{chap:littlewood-paley-multipliers} 章讨论 Littlewood--Paley 理论; 它起源于 20 世纪 30 年代, 此后得到广泛发展, 并包含许多应用. 本章给出的应用可用于研究 Fourier 乘子, 其中也会使用加权不等式理论. 全书以 20 世纪 80 年代的一项重要结果结束, 即所谓的 $T1$ 定理; 它对这一领域具有关键意义.	chapter	chap:hilbert-transform	ref	tex/frontmatter.tex:13	tex/chapters/chapter-03.tex:5	resolved
reference	我们在第 \ref{chap:fourier-series-integrals} 章先回顾 Fourier 级数和 Fourier 积分, 然后在第 \ref{chap:hardy-littlewood-maximal-function} 章和第 \ref{chap:hilbert-transform} 章介绍该领域的两个基本算子: Hardy--Littlewood 极大函数和 Hilbert 变换. 尽管它们早于 Calderón 与 Zygmund 的方法出现, 我们仍从他们的观点来处理这些算子. 这些方法旨在研究 Hilbert 变换在高维中的类似物; 它们在应用中十分重要. 这类算子称为奇异积分, 我们在第 \ref{chap:singular-integrals-one} 章和第 \ref{chap:singular-integrals-two} 章中讨论它们及其现代推广. 随后我们考察 20 世纪 70 年代出现的众多成果中的两项. 第 \ref{chap:h1-and-bmo} 章研究 $H^1$、BMO 与奇异积分之间的关系, 第 \ref{chap:weighted-inequalities} 章介绍加权范数不等式的初等理论. 第 \ref{chap:littlewood-paley-multipliers} 章讨论 Littlewood--Paley 理论; 它起源于 20 世纪 30 年代, 此后得到广泛发展, 并包含许多应用. 本章给出的应用可用于研究 Fourier 乘子, 其中也会使用加权不等式理论. 全书以 20 世纪 80 年代的一项重要结果结束, 即所谓的 $T1$ 定理; 它对这一领域具有关键意义.	chapter	chap:singular-integrals-one	ref	tex/frontmatter.tex:13	tex/chapters/chapter-04.tex:5	resolved
reference	我们在第 \ref{chap:fourier-series-integrals} 章先回顾 Fourier 级数和 Fourier 积分, 然后在第 \ref{chap:hardy-littlewood-maximal-function} 章和第 \ref{chap:hilbert-transform} 章介绍该领域的两个基本算子: Hardy--Littlewood 极大函数和 Hilbert 变换. 尽管它们早于 Calderón 与 Zygmund 的方法出现, 我们仍从他们的观点来处理这些算子. 这些方法旨在研究 Hilbert 变换在高维中的类似物; 它们在应用中十分重要. 这类算子称为奇异积分, 我们在第 \ref{chap:singular-integrals-one} 章和第 \ref{chap:singular-integrals-two} 章中讨论它们及其现代推广. 随后我们考察 20 世纪 70 年代出现的众多成果中的两项. 第 \ref{chap:h1-and-bmo} 章研究 $H^1$、BMO 与奇异积分之间的关系, 第 \ref{chap:weighted-inequalities} 章介绍加权范数不等式的初等理论. 第 \ref{chap:littlewood-paley-multipliers} 章讨论 Littlewood--Paley 理论; 它起源于 20 世纪 30 年代, 此后得到广泛发展, 并包含许多应用. 本章给出的应用可用于研究 Fourier 乘子, 其中也会使用加权不等式理论. 全书以 20 世纪 80 年代的一项重要结果结束, 即所谓的 $T1$ 定理; 它对这一领域具有关键意义.	chapter	chap:singular-integrals-two	ref	tex/frontmatter.tex:13	tex/chapters/chapter-05.tex:5	resolved
reference	我们在第 \ref{chap:fourier-series-integrals} 章先回顾 Fourier 级数和 Fourier 积分, 然后在第 \ref{chap:hardy-littlewood-maximal-function} 章和第 \ref{chap:hilbert-transform} 章介绍该领域的两个基本算子: Hardy--Littlewood 极大函数和 Hilbert 变换. 尽管它们早于 Calderón 与 Zygmund 的方法出现, 我们仍从他们的观点来处理这些算子. 这些方法旨在研究 Hilbert 变换在高维中的类似物; 它们在应用中十分重要. 这类算子称为奇异积分, 我们在第 \ref{chap:singular-integrals-one} 章和第 \ref{chap:singular-integrals-two} 章中讨论它们及其现代推广. 随后我们考察 20 世纪 70 年代出现的众多成果中的两项. 第 \ref{chap:h1-and-bmo} 章研究 $H^1$、BMO 与奇异积分之间的关系, 第 \ref{chap:weighted-inequalities} 章介绍加权范数不等式的初等理论. 第 \ref{chap:littlewood-paley-multipliers} 章讨论 Littlewood--Paley 理论; 它起源于 20 世纪 30 年代, 此后得到广泛发展, 并包含许多应用. 本章给出的应用可用于研究 Fourier 乘子, 其中也会使用加权不等式理论. 全书以 20 世纪 80 年代的一项重要结果结束, 即所谓的 $T1$ 定理; 它对这一领域具有关键意义.	chapter	chap:h1-and-bmo	ref	tex/frontmatter.tex:13	tex/chapters/chapter-06.tex:5	resolved
reference	我们在第 \ref{chap:fourier-series-integrals} 章先回顾 Fourier 级数和 Fourier 积分, 然后在第 \ref{chap:hardy-littlewood-maximal-function} 章和第 \ref{chap:hilbert-transform} 章介绍该领域的两个基本算子: Hardy--Littlewood 极大函数和 Hilbert 变换. 尽管它们早于 Calderón 与 Zygmund 的方法出现, 我们仍从他们的观点来处理这些算子. 这些方法旨在研究 Hilbert 变换在高维中的类似物; 它们在应用中十分重要. 这类算子称为奇异积分, 我们在第 \ref{chap:singular-integrals-one} 章和第 \ref{chap:singular-integrals-two} 章中讨论它们及其现代推广. 随后我们考察 20 世纪 70 年代出现的众多成果中的两项. 第 \ref{chap:h1-and-bmo} 章研究 $H^1$、BMO 与奇异积分之间的关系, 第 \ref{chap:weighted-inequalities} 章介绍加权范数不等式的初等理论. 第 \ref{chap:littlewood-paley-multipliers} 章讨论 Littlewood--Paley 理论; 它起源于 20 世纪 30 年代, 此后得到广泛发展, 并包含许多应用. 本章给出的应用可用于研究 Fourier 乘子, 其中也会使用加权不等式理论. 全书以 20 世纪 80 年代的一项重要结果结束, 即所谓的 $T1$ 定理; 它对这一领域具有关键意义.	chapter	chap:weighted-inequalities	ref	tex/frontmatter.tex:13	tex/chapters/chapter-07.tex:5	resolved
reference	我们在第 \ref{chap:fourier-series-integrals} 章先回顾 Fourier 级数和 Fourier 积分, 然后在第 \ref{chap:hardy-littlewood-maximal-function} 章和第 \ref{chap:hilbert-transform} 章介绍该领域的两个基本算子: Hardy--Littlewood 极大函数和 Hilbert 变换. 尽管它们早于 Calderón 与 Zygmund 的方法出现, 我们仍从他们的观点来处理这些算子. 这些方法旨在研究 Hilbert 变换在高维中的类似物; 它们在应用中十分重要. 这类算子称为奇异积分, 我们在第 \ref{chap:singular-integrals-one} 章和第 \ref{chap:singular-integrals-two} 章中讨论它们及其现代推广. 随后我们考察 20 世纪 70 年代出现的众多成果中的两项. 第 \ref{chap:h1-and-bmo} 章研究 $H^1$、BMO 与奇异积分之间的关系, 第 \ref{chap:weighted-inequalities} 章介绍加权范数不等式的初等理论. 第 \ref{chap:littlewood-paley-multipliers} 章讨论 Littlewood--Paley 理论; 它起源于 20 世纪 30 年代, 此后得到广泛发展, 并包含许多应用. 本章给出的应用可用于研究 Fourier 乘子, 其中也会使用加权不等式理论. 全书以 20 世纪 80 年代的一项重要结果结束, 即所谓的 $T1$ 定理; 它对这一领域具有关键意义.	chapter	chap:littlewood-paley-multipliers	ref	tex/frontmatter.tex:13	tex/chapters/chapter-08.tex:5	resolved
unresolved	[14]	citation		MBUnresolvedReference	tex/frontmatter.tex:47		needs-review
