Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		chapter	chap:singular-integrals-two	label	tex/chapters/chapter-05.tex:5	tex/chapters/chapter-05.tex:5	defined
target		section	sec:ch5-calderon-zygmund-theorem	label	tex/chapters/chapter-05/section-05-01.tex:3	tex/chapters/chapter-05/section-05-01.tex:3	defined
target		theorem	thm:ch5-calderon-zygmund	label	tex/chapters/chapter-05/section-05-01.tex:8	tex/chapters/chapter-05/section-05-01.tex:8	defined
target		equation	eq:ch5-bounded-fourier-kernel	label	tex/chapters/chapter-05/section-05-01.tex:11	tex/chapters/chapter-05/section-05-01.tex:11	defined
target		equation	eq:ch5-hormander-condition	label	tex/chapters/chapter-05/section-05-01.tex:15	tex/chapters/chapter-05/section-05-01.tex:15	defined
target		proposition	prop:ch5-gradient-implies-hormander	label	tex/chapters/chapter-05/section-05-01.tex:34	tex/chapters/chapter-05/section-05-01.tex:34	defined
target		equation	eq:ch5-gradient-condition	label	tex/chapters/chapter-05/section-05-01.tex:37	tex/chapters/chapter-05/section-05-01.tex:37	defined
target		equation	eq:ch5-bad-part-outside-cubes	label	tex/chapters/chapter-05/section-05-01.tex:50	tex/chapters/chapter-05/section-05-01.tex:50	defined
target		proposition	prop:ch5-dini-implies-hormander	label	tex/chapters/chapter-05/section-05-01.tex:69	tex/chapters/chapter-05/section-05-01.tex:69	defined
target		equation	eq:ch5-dini-condition	label	tex/chapters/chapter-05/section-05-01.tex:72	tex/chapters/chapter-05/section-05-01.tex:72	defined
target		corollary	cor:ch5-dini-singular-integral	label	tex/chapters/chapter-05/section-05-01.tex:96	tex/chapters/chapter-05/section-05-01.tex:96	defined
target		section	sec:ch5-truncated-integrals-principal-value	label	tex/chapters/chapter-05/section-05-02.tex:2	tex/chapters/chapter-05/section-05-02.tex:2	defined
target		proposition	prop:ch5-truncated-kernel-fourier-bound	label	tex/chapters/chapter-05/section-05-02.tex:7	tex/chapters/chapter-05/section-05-02.tex:7	defined
target		equation	eq:ch5-annular-cancellation	label	tex/chapters/chapter-05/section-05-02.tex:10	tex/chapters/chapter-05/section-05-02.tex:10	defined
target		equation	eq:ch5-annular-size	label	tex/chapters/chapter-05/section-05-02.tex:15	tex/chapters/chapter-05/section-05-02.tex:15	defined
target		equation	eq:ch5-kernel-difference-condition	label	tex/chapters/chapter-05/section-05-02.tex:20	tex/chapters/chapter-05/section-05-02.tex:20	defined
target		equation	eq:ch5-first-moment-size	label	tex/chapters/chapter-05/section-05-02.tex:29	tex/chapters/chapter-05/section-05-02.tex:29	defined
