Source Notation	Canonical Notation	Meaning	Scope	First Occurrence	Preserve Exactly	Review Status	Notes
I^k_{k-1}	I^k_{k-1}	coarse-to-fine natural injection	Section 6.3	PDF 171	true	reviewed	Subscripts and superscripts preserved
I^{k-1}_k	I^{k-1}_k	fine-to-coarse transpose transfer operator	Section 6.3	PDF 172	true	reviewed	Subscripts and superscripts preserved
A_k	A_k	discrete operator induced by a(.,.) and the mesh-dependent inner product	Chapter 6	PDF 169	true	reviewed	Subscript preserved
\|.\|_{s,k}	\|.\|_{s,k}	mesh-dependent norm scale generated by powers of A_k	Chapter 6	PDF 169	true	reviewed	Both subscripts preserved
P_k	P_k	Ritz orthogonal projection from V to V_k	Chapter 6	PDF 173	true	reviewed	Subscript preserved
R_k	R_k	relaxation operator I-Lambda_k^{-1}A_k	Chapter 6	PDF 175	true	reviewed	Subscript preserved
E_k	E_k	symmetric V-cycle error operator	Chapter 6	PDF 177	true	reviewed	Subscript preserved
e_k^I	e_k^I	number of internal edges in T_k	Section 6.7	PDF 182	true	reviewed	Superscript and subscript preserved
\nu_k^I	\nu_k^I	number of internal vertices in T_k	Section 6.7	PDF 182	true	reviewed	Greek letter, superscript and subscript preserved
t_k	t_k	number of triangles in T_k	Section 6.7	PDF 182	true	reviewed	Subscript preserved
B_k,C_k	B_k,C_k	linear operators in the consistency representation of MG	Exercises 6.x.15--17	PDF 185	true	reviewed	Operator letters and subscripts preserved
MG(k,z_0,g)	MG(k,z_0,g)	kth-level multigrid iteration output	Section 6.3	PDF 172	true	reviewed	Argument order preserved
Lambda_k	Lambda_k	upper bound for the spectral radius of A_k	Section 6.3	PDF 172	true	reviewed	Rendered in TeX as \\Lambda_k
u_S	u_S	Ritz--Galerkin approximation	Chapter 0	PDF 18	true	reviewed	Subscript preserved
u_I	u_I	piecewise linear interpolant	Chapter 0	PDF 22	true	reviewed	Subscript preserved
\\|\\cdot\\|_E	\\|\\cdot\\|_E	energy norm	Chapter 0	PDF 20	true	reviewed	Subscript E preserved
S_\\Delta	S_\\Delta	piecewise constant space on partition Delta	Section 0.8	PDF 28	true	reviewed	Subscript and capital Delta preserved
Q(u,\\Delta)	Q(u,\\Delta)	adaptive approximation quotient	Section 0.8	PDF 29	true	reviewed	Argument order preserved
L^p(\\Omega)	L^p(\\Omega)	Lebesgue space	Chapter 1	PDF 38	true	reviewed	Exponent and domain preserved
W_p^k(\\Omega)	W_p^k(\\Omega)	Sobolev space	Chapter 1	PDF 44	true	reviewed	Subscript p and superscript k preserved
D_w^\\alpha f	D_w^\\alpha f	weak derivative	Chapter 1	PDF 43	true	reviewed	Subscript w and multi-index preserved
\\mathcal D(\\Omega)	\\mathcal D(\\Omega)	test-function space	Section 1.2	PDF 42	true	reviewed	Calligraphic D preserved
L_{\\mathrm{loc}}^1(\\Omega)	L_{\\mathrm{loc}}^1(\\Omega)	locally integrable functions	Section 1.2	PDF 42	true	reviewed	loc subscript preserved
\\mathring W_p^k(\\Omega)	\\mathring W_p^k(\\Omega)	zero-trace Sobolev space	Section 1.6	PDF 55	true	reviewed	Ring accent and indices preserved
M^\\perp	M^\\perp	orthogonal complement of M	Section 2.2	PDF 65	true	reviewed	Perpendicular superscript preserved
P_M	P_M	orthogonal projection onto M	Section 2.3	PDF 67	true	reviewed	Subscript preserved
P_{M^\\perp}	P_{M^\\perp}	orthogonal projection onto the orthogonal complement	Section 2.3	PDF 68	true	reviewed	Nested perpendicular superscript preserved
\\tau	\\tau	Riesz isometry from the dual space onto the Hilbert space	Section 2.4	PDF 70	true	reviewed	Greek letter preserved
u_h	u_h	Galerkin approximation	Section 2.5	PDF 72	true	reviewed	Subscript h preserved
