PDF Page	Printed Page	Source Scope	Translation Target	Coverage	Verification
357	346	Chapter V opening, Navier--Stokes system V.1, inertia form, Lemma V.1.1, and equations V.2--V.3	tex/chapters/ch05-sec01.tex	covered	Opening assumptions, system, trilinear form, statement, estimates, and proof opening checked
358	347	Operator B, equations V.4--V.5, Remark V.1.1, Lemma V.1.1 proof conclusion, and Subsection 1.2 opening	tex/chapters/ch05-sec01.tex	covered	Operator definition, dimension-dependent estimate, antisymmetry proof, and weak-form motivation checked
359	348	Subsection 1.2.1, weak formulation V.6, initial-value interpretation, and Subsection 1.2.2 opening	tex/chapters/ch05-sec01.tex	covered	Time-independent formulation, weak continuity argument, and motivation for time-dependent tests checked
360	349	Time-dependent formulation V.7, regularity discussion, Lemma V.1.2, and proof opening	tex/chapters/ch05-sec01.tex	covered	Test spaces, initial value, dimension distinction, density statement, and partition construction checked
361	350	Lemma V.1.2 proof conclusion, Proposition V.1.3, and equation V.8	tex/chapters/ch05-sec01.tex	covered	Uniform approximation, equivalence statement, and separated-test calculation checked
362	351	Equation V.9 and reverse implication in Proposition V.1.3	tex/chapters/ch05-sec01.tex	covered	Distributional identity, V-prime derivative construction, operator bounds, and almost-everywhere equation checked
363	352	Proposition V.1.3 proof conclusion and Theorem V.1.4 opening	tex/chapters/ch05-sec01.tex	covered	Density extension, initial condition, Leray statement, spaces, and equation V.10 checked
364	353	Theorem V.1.4 conclusion, equation V.11, proof strategy, source regularization V.12, and convergence opening	tex/chapters/ch05-sec01.tex	covered	Two- and three-dimensional conclusions, energy relations, global scope, and regularization definition checked
365	354	Source regularization proof, bound V.13, approximate problem, and Galerkin setup	tex/chapters/ch05-sec01.tex	covered	Translation continuity, approximation convergence, spectral subspaces, projected data, and ODE construction checked
366	355	Galerkin equation V.14, Cauchy--Lipschitz argument, energy estimates V.15--V.17, and Lemma V.1.5	tex/chapters/ch05-sec01.tex	covered	Finite-dimensional system, local existence, differential and integrated estimates, and uniform bounds checked
367	356	Lemma V.1.6, equation V.18, transpose projection argument, and time-derivative estimate	tex/chapters/ch05-sec01.tex	covered	Printed transpose operators and signs preserved exactly; L4/d bound and component estimates checked
368	357	Alternative V-minus-three-halves estimate, Remark V.1.2, and limit-process compactness setup	tex/chapters/ch05-sec01.tex	covered	Three-dimensional bilinear estimate, time regularity, weak subsequences, and limit spaces checked
369	358	Interpolation equation V.19, useful bound V.20, and identification of the nonlinear limit	tex/chapters/ch05-sec01.tex	covered	Interpolation exponents, L4/3-L6/5 bound, required duality, and nonlinear convergence setup checked
370	359	Strong convergence, nonlinear limit identification, initial trace, and equation V.21 opening	tex/chapters/ch05-sec01.tex	covered	Compactness theorem use, product convergence, weak formulation, and projected test functions checked
371	360	Equation V.21 conclusion, passage K to infinity, regularity conclusions, and uniqueness opening	tex/chapters/ch05-sec01.tex	covered	All limit terms, recovered weak forms, initial value, pressure deferral, and two-dimensional uniqueness setup checked
372	361	Two-dimensional uniqueness proof	tex/chapters/ch05-sec01.tex	covered	Difference equation, solution as test function, antisymmetry, Young estimate, Gronwall argument, and zero initial data checked
373	362	Globality of weak solutions in dimensions two and three	tex/chapters/ch05-sec01.tex	covered	Patching by uniqueness, nested subsequences, diagonal extraction, and all-time solution construction checked
374	363	Subsection 1.4, Proposition V.1.7, proof, and kinetic-energy interpretation opening	tex/chapters/ch05-sec01.tex	covered	Strong and weak time continuity, dimension-specific spaces, and energy-balance interpretation checked
375	364	Two-dimensional energy equality, three-dimensional difficulty, Step 1, and equations V.22--V.23	tex/chapters/ch05-sec01.tex	covered	Admissible tests, approximate energy identity, integrated inequality, and limit objective checked
376	365	Step 2, equation V.24, averaged estimate V.25, and convergence of its terms	tex/chapters/ch05-sec01.tex	covered	Initial energy average, integration in time, strong and weak limits, and source convergence checked
377	366	Limit estimate V.26, zero-time limits, and equations V.27--V.28	tex/chapters/ch05-sec01.tex	covered	Fatou argument, antiderivative limits, upper and lower bounds, and equality V.24 checked
378	367	Step 3 with piecewise affine cutoff and passage N to infinity	tex/chapters/ch05-sec01.tex	covered	Definition of theta-delta, integration by parts, lower semicontinuity, dominated convergence, and Lebesgue-point case checked
379	368	Energy inequality at all times and Subsection 1.5 opening through equation V.29	tex/chapters/ch05-sec01.tex	covered	Dense Lebesgue-point extension, weak lower semicontinuity, pressure-test derivation, and instantaneous orthogonality checked
380	369	Equations V.30--V.31, de Rham pressure recovery, pressure regularity, and theorem conclusion	tex/chapters/ch05-sec01.tex	covered	Integrated identity, printed (IV.59) citation preserved unresolved, weak continuity of pressure potential, distributional pressure, uniqueness, and proof conclusion checked
