Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		section	sec:chap6-nonhomogeneous-navier-stokes	label	tex/chapters/ch06-sec02.tex:2	tex/chapters/ch06-sec02.tex:2	defined
target		subsection	subsec:chap6-main-result	label	tex/chapters/ch06-sec02.tex:13	tex/chapters/ch06-sec02.tex:13	defined
target		equation	eq:chap6-viscosity-assumptions	label	tex/chapters/ch06-sec02.tex:20	tex/chapters/ch06-sec02.tex:20	defined
target		theorem	thm:chap6-nonhomogeneous-weak-existence	label	tex/chapters/ch06-sec02.tex:25	tex/chapters/ch06-sec02.tex:25	defined
target		equation	eq:chap6-nonhomogeneous-mass-system	label	tex/chapters/ch06-sec02.tex:75	tex/chapters/ch06-sec02.tex:75	defined
target		equation	eq:chap6-nonhomogeneous-momentum-system	label	tex/chapters/ch06-sec02.tex:86	tex/chapters/ch06-sec02.tex:86	defined
target		equation	eq:chap6-nonhomogeneous-incompressibility	label	tex/chapters/ch06-sec02.tex:90	tex/chapters/ch06-sec02.tex:90	defined
target		remark	rem:chap6-time-dependent-boundary-data	label	tex/chapters/ch06-sec02.tex:108	tex/chapters/ch06-sec02.tex:108	defined
target		subsection	subsec:chap6-approximate-problem	label	tex/chapters/ch06-sec02.tex:114	tex/chapters/ch06-sec02.tex:114	defined
target		subsection	subsec:chap6-approximate-problem-definition	label	tex/chapters/ch06-sec02.tex:117	tex/chapters/ch06-sec02.tex:117	defined
target		equation	eq:chap6-positive-density-approximations	label	tex/chapters/ch06-sec02.tex:128	tex/chapters/ch06-sec02.tex:128	defined
target		definition	def:chap6-approximate-problem	label	tex/chapters/ch06-sec02.tex:141	tex/chapters/ch06-sec02.tex:141	defined
target		equation	eq:chap6-approximate-momentum	label	tex/chapters/ch06-sec02.tex:156	tex/chapters/ch06-sec02.tex:156	defined
target		subsection	subsec:chap6-approximate-problem-resolution	label	tex/chapters/ch06-sec02.tex:165	tex/chapters/ch06-sec02.tex:165	defined
target		equation	eq:chap6-fixed-point-transport	label	tex/chapters/ch06-sec02.tex:188	tex/chapters/ch06-sec02.tex:188	defined
target		equation	eq:chap6-approximate-density-upper-bound	label	tex/chapters/ch06-sec02.tex:194	tex/chapters/ch06-sec02.tex:194	defined
target		equation	eq:chap6-approximate-density-lower-bound	label	tex/chapters/ch06-sec02.tex:199	tex/chapters/ch06-sec02.tex:199	defined
