Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		section	sec:comments	label	tex/chapters/comments.tex:5	tex/chapters/comments.tex:5	defined
target		section	sec:additional-comments-third-edition	label	tex/chapters/comments.tex:88	tex/chapters/comments.tex:88	defined
reference	第 \ref{sec:ch1-function-spaces} 节对基本空间 $V$ 和 $H$ 作了预备研究. 迹定理由 J.L. Lions and E. Magenes 的方法证明, 见文献 [1]. 这里给出的 $H^1$ 的刻画基于 G. de Rham 的流理论中的一个定理. O.A. Ladyzhenskaya [1]对 $n=3$ 给出了更初等的证明. R. Temam [9]给出了适用于所有维数的 O.A. Ladyzhenskaya 证明的简化版本. 注 1.9 给出了另一种避开 de Rham 定理的方法; 另见命题 1.1 之前脚注的末尾.	section	sec:ch1-function-spaces	ref	tex/chapters/comments.tex:12	tex/chapters/chapter-01/section-01.tex:2	resolved
reference	本书没有系统研究或综述 Sobolev 空间, 只在需要时回顾这些空间的性质, 特别是在第 \ref{sec:ch1-function-spaces} 节和第 \ref{sec:ch2-discrete-inequalities-compactness} 节. 如正文所述, 关于证明和进一步材料, 读者可参阅 R.S. Adams [1], S. Agmon [1], J.L. Lions [1], J.L. Lions and E. Magenes [1], J. Nečas [1], L. Sobolev [1]等.	section	sec:ch1-function-spaces	ref	tex/chapters/comments.tex:14	tex/chapters/chapter-01/section-01.tex:2	resolved
reference	本书没有系统研究或综述 Sobolev 空间, 只在需要时回顾这些空间的性质, 特别是在第 \ref{sec:ch1-function-spaces} 节和第 \ref{sec:ch2-discrete-inequalities-compactness} 节. 如正文所述, 关于证明和进一步材料, 读者可参阅 R.S. Adams [1], S. Agmon [1], J.L. Lions [1], J.L. Lions and E. Magenes [1], J. Nečas [1], L. Sobolev [1]等.	section	sec:ch2-discrete-inequalities-compactness	ref	tex/chapters/comments.tex:14	tex/chapters/chapter-02/section-02.tex:3	resolved
reference	\item[(b)] 若非如此, 即使有限维问题具有唯一解, 求解也不简单, 因为矩阵可能病态或不稀疏. 此时必须引入适当算法求解这些问题; 这正是第 \ref{sec:ch1-numerical-algorithms} 节的目的.	section	sec:ch1-numerical-algorithms	ref	tex/chapters/comments.tex:28	tex/chapters/chapter-01/section-05.tex:3	resolved
reference	第 \ref{sec:ch1-numerical-algorithms} 节描述的算法由 K.J. Arrow, L. Hurwicz and H. Uzawa [1]在优化理论和经济学框架中引入. 这些过程在流体动力学问题中的应用见 J. Céa, R. Glowinski and J.C. Nedelec [1], M. Fortin [2], M. Fortin, R. Peyret and R. Temam [1]. 关于参数 $\varrho$(或 $\varrho$ 与 $\alpha$)最优选择的实验研究, 见 D. Bégis [1], M. Fortin [2]; Crouzeix [2]在一个很特殊的情形中给出了该问题的理论解答.	section	sec:ch1-numerical-algorithms	ref	tex/chapters/comments.tex:31	tex/chapters/chapter-01/section-05.tex:3	resolved
reference	第 \ref{sec:ch2-existence-uniqueness} 节给出若干关于非线性稳态 Navier--Stokes 方程解存在唯一性的标准结果. 我们主要遵循 O.A. Ladyzhenskaya [1]和 J.L. Lions [2]. 关于解正则性和流体动力学位势理论的更完整讨论见 O.A. Ladyzhenskaya [1]; 关于正则性另见 H. Fujita [1]. 无界区域中的稳态 Navier--Stokes 方程由 R. Finn [1]--[5], R. Finn and D.R. Smith [1, 2], J.G. Heywood [1, 3]研究.	section	sec:ch2-existence-uniqueness	ref	tex/chapters/comments.tex:37	tex/chapters/chapter-02/section-01.tex:3	resolved
reference	第 \ref{sec:ch2-discrete-inequalities-compactness} 节给出离散 Sobolev 不等式和紧性定理, 其证明技术性很强. 有限差分情形的证明原则与连续情形的相应证明平行, 见例如 J.L. Lions [1], J.L. Lions--E. Magenes [1]. 离散 Sobolev 不等式的证明此前未曾发表; 离散紧性定理的证明见 P.A. Raviart [1]. 对协调有限元, 证明简单得多: 特别地, 对离散紧性定理, 一个简单技巧便把问题化为连续情形. 对非协调有限元, Sobolev 不等式的证明基于非协调有限元理论的特殊技术. 离散紧性定理通过比较协调元和非协调元证明; 这些结果是新的.	section	sec:ch2-discrete-inequalities-compactness	ref	tex/chapters/comments.tex:42	tex/chapters/chapter-02/section-02.tex:3	resolved
reference	稳态 Navier--Stokes 方程离散化的讨论遵循第 \ref{chap:steady-state-stokes} 章发展出的原则. 一般收敛定理与第 \ref{chap:steady-state-stokes} 章类似, 并考虑同样类型的 $V$ 的离散化; 差别来自精确问题的解可能不唯一. 第 \ref{subsec:ch2-stationary-numerical-algorithms} 节的数值算法由 M. Fortin, R. Peyret and R. Temam [1]引入并检验. 三线性形式 $b$ 的修改见 \eqref{eq:ch2-antisymmetrized-form}, 它对应于引入稳定项 $\frac12(\operatorname{div}u)u$, 以及当函数不是无散函数时引入其离散类似物; 这一修改由 R. Temam [2a, 2b, 3, 4]引入并使用.	chapter	chap:steady-state-stokes	ref	tex/chapters/comments.tex:44	tex/chapters/chapter-01.tex:5	resolved
