Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		section	sec:navier-stokes-steady-theory	label	tex/chapters/chapter-04-section-02.tex:5	tex/chapters/chapter-04-section-02.tex:5	defined
target		equation	eq:navier-steady-system	label	tex/chapters/chapter-04-section-02.tex:9	tex/chapters/chapter-04-section-02.tex:9	defined
target		subsection	subsec:navier-steady-velocity-pressure	label	tex/chapters/chapter-04-section-02.tex:26	tex/chapters/chapter-04-section-02.tex:26	defined
target		equation	eq:navier-steady-homogeneous-dirichlet	label	tex/chapters/chapter-04-section-02.tex:29	tex/chapters/chapter-04-section-02.tex:29	defined
target		equation	eq:navier-steady-convection-form	label	tex/chapters/chapter-04-section-02.tex:34	tex/chapters/chapter-04-section-02.tex:34	defined
target		lemma	lem:navier-steady-convection-continuity	label	tex/chapters/chapter-04-section-02.tex:42	tex/chapters/chapter-04-section-02.tex:42	defined
target		lemma	lem:navier-steady-convection-skew	label	tex/chapters/chapter-04-section-02.tex:76	tex/chapters/chapter-04-section-02.tex:76	defined
target		equation	eq:navier-steady-convection-antisymmetry	label	tex/chapters/chapter-04-section-02.tex:84	tex/chapters/chapter-04-section-02.tex:84	defined
target		equation	eq:navier-steady-convection-cancellation	label	tex/chapters/chapter-04-section-02.tex:86	tex/chapters/chapter-04-section-02.tex:86	defined
target		equation	eq:navier-steady-viscous-form	label	tex/chapters/chapter-04-section-02.tex:116	tex/chapters/chapter-04-section-02.tex:116	defined
target		equation	eq:navier-steady-total-form	label	tex/chapters/chapter-04-section-02.tex:122	tex/chapters/chapter-04-section-02.tex:122	defined
target		equation	eq:navier-steady-homogeneous-variational	label	tex/chapters/chapter-04-section-02.tex:129	tex/chapters/chapter-04-section-02.tex:129	defined
target		theorem	thm:navier-steady-homogeneous-existence	label	tex/chapters/chapter-04-section-02.tex:137	tex/chapters/chapter-04-section-02.tex:137	defined
target		remark	rem:navier-steady-normal-potential-space	label	tex/chapters/chapter-04-section-02.tex:148	tex/chapters/chapter-04-section-02.tex:148	defined
target		equation	eq:navier-steady-reduced-variational	label	tex/chapters/chapter-04-section-02.tex:193	tex/chapters/chapter-04-section-02.tex:193	defined
target		equation	eq:navier-steady-convection-constant	label	tex/chapters/chapter-04-section-02.tex:205	tex/chapters/chapter-04-section-02.tex:205	defined
target		equation	eq:navier-steady-force-dual-norm	label	tex/chapters/chapter-04-section-02.tex:212	tex/chapters/chapter-04-section-02.tex:212	defined
target		theorem	thm:navier-steady-homogeneous-uniqueness	label	tex/chapters/chapter-04-section-02.tex:220	tex/chapters/chapter-04-section-02.tex:220	defined
target		equation	eq:navier-steady-small-data-condition	label	tex/chapters/chapter-04-section-02.tex:222	tex/chapters/chapter-04-section-02.tex:222	defined
target		equation	eq:navier-steady-nonhomogeneous-dirichlet	label	tex/chapters/chapter-04-section-02.tex:241	tex/chapters/chapter-04-section-02.tex:241	defined
target		equation	eq:navier-steady-component-flux	label	tex/chapters/chapter-04-section-02.tex:245	tex/chapters/chapter-04-section-02.tex:245	defined
target		lemma	lem:navier-steady-hopf-lifting	label	tex/chapters/chapter-04-section-02.tex:252	tex/chapters/chapter-04-section-02.tex:252	defined
target		equation	eq:navier-steady-hopf-lifting-properties	label	tex/chapters/chapter-04-section-02.tex:256	tex/chapters/chapter-04-section-02.tex:256	defined
target		equation	eq:navier-steady-hopf-small-convection	label	tex/chapters/chapter-04-section-02.tex:262	tex/chapters/chapter-04-section-02.tex:262	defined
target		lemma	lem:navier-steady-boundary-cutoff	label	tex/chapters/chapter-04-section-02.tex:273	tex/chapters/chapter-04-section-02.tex:273	defined
target		equation	eq:navier-steady-boundary-cutoff-properties	label	tex/chapters/chapter-04-section-02.tex:275	tex/chapters/chapter-04-section-02.tex:275	defined
target		lemma	lem:navier-steady-hardy-boundary	label	tex/chapters/chapter-04-section-02.tex:307	tex/chapters/chapter-04-section-02.tex:307	defined
target		equation	eq:navier-steady-hardy-boundary	label	tex/chapters/chapter-04-section-02.tex:309	tex/chapters/chapter-04-section-02.tex:309	defined
target		equation	eq:navier-steady-hardy-one-dimensional	label	tex/chapters/chapter-04-section-02.tex:317	tex/chapters/chapter-04-section-02.tex:317	defined
target		equation	eq:navier-steady-nonhomogeneous-variational	label	tex/chapters/chapter-04-section-02.tex:406	tex/chapters/chapter-04-section-02.tex:406	defined
target		theorem	thm:navier-steady-nonhomogeneous-existence	label	tex/chapters/chapter-04-section-02.tex:420	tex/chapters/chapter-04-section-02.tex:420	defined
target		equation	eq:navier-steady-lifted-variational	label	tex/chapters/chapter-04-section-02.tex:448	tex/chapters/chapter-04-section-02.tex:448	defined
target		equation	eq:navier-steady-lifting-rho	label	tex/chapters/chapter-04-section-02.tex:471	tex/chapters/chapter-04-section-02.tex:471	defined
target		equation	eq:navier-steady-lifted-load-norm	label	tex/chapters/chapter-04-section-02.tex:477	tex/chapters/chapter-04-section-02.tex:477	defined
target		equation	eq:navier-steady-critical-viscosity	label	tex/chapters/chapter-04-section-02.tex:490	tex/chapters/chapter-04-section-02.tex:490	defined
target		theorem	thm:navier-steady-nonhomogeneous-uniqueness	label	tex/chapters/chapter-04-section-02.tex:501	tex/chapters/chapter-04-section-02.tex:501	defined
target		remark	rem:navier-steady-lifted-bound	label	tex/chapters/chapter-04-section-02.tex:519	tex/chapters/chapter-04-section-02.tex:519	defined
target		remark	rem:navier-steady-oseen-iteration	label	tex/chapters/chapter-04-section-02.tex:529	tex/chapters/chapter-04-section-02.tex:529	defined
target		equation	eq:navier-steady-oseen-iteration	label	tex/chapters/chapter-04-section-02.tex:532	tex/chapters/chapter-04-section-02.tex:532	defined
target		subsection	subsec:navier-steady-stream-function	label	tex/chapters/chapter-04-section-02.tex:550	tex/chapters/chapter-04-section-02.tex:550	defined
target		equation	eq:navier-steady-two-dimensional-curl-convection	label	tex/chapters/chapter-04-section-02.tex:561	tex/chapters/chapter-04-section-02.tex:561	defined
target		equation	eq:navier-steady-two-dimensional-component-identities	label	tex/chapters/chapter-04-section-02.tex:567	tex/chapters/chapter-04-section-02.tex:567	defined
target		equation	eq:navier-steady-two-dimensional-stream-convection	label	tex/chapters/chapter-04-section-02.tex:586	tex/chapters/chapter-04-section-02.tex:586	defined
target		equation	eq:navier-steady-two-dimensional-stream-form	label	tex/chapters/chapter-04-section-02.tex:598	tex/chapters/chapter-04-section-02.tex:598	defined
target		equation	eq:navier-steady-three-dimensional-convection-identity	label	tex/chapters/chapter-04-section-02.tex:678	tex/chapters/chapter-04-section-02.tex:678	defined
target		equation	eq:navier-steady-three-dimensional-stream-problem	label	tex/chapters/chapter-04-section-02.tex:684	tex/chapters/chapter-04-section-02.tex:684	defined
