Unit ID	Source Pages	Title	Extraction Status	Structure Status	Translation Status	QA Status	Compilation Status	Blocking Issues	Output File
chapter-01	PDF 13--36 / printed 1--24	Fourier Series and Integrals	complete	complete	complete	passed	passed: 3 XeLaTeX passes	Theorem 1.22 source index inconsistency recorded; nonblocking	tex/chapters/chapter-01.tex
chapter-02	PDF 37--59 / printed 25--47	The Hardy--Littlewood Maximal Function	complete	complete	complete	passed	passed: 3 XeLaTeX passes		tex/chapters/chapter-02.tex
chapter-03	PDF 61--80 / printed 49--68	The Hilbert Transform	complete	complete	complete	passed	passed: 3 XeLaTeX passes	Source normalization inconsistency in §6.5 recorded; nonblocking	tex/chapters/chapter-03.tex
chapter-04	PDF 81--102 / printed 69--90	Singular Integrals (I)	complete	complete	complete	passed	passed: 3 XeLaTeX passes		tex/chapters/chapter-04.tex
chapter-05	PDF 103--126 / printed 91--114	Singular Integrals (II)	complete	complete	complete	passed	passed: 3 XeLaTeX passes		tex/chapters/chapter-05.tex
chapter-06	PDF 127--144 / printed 115--132	H1 and BMO	complete	complete	complete	passed	passed: 3 XeLaTeX passes		tex/chapters/chapter-06.tex
chapter-07	PDF 145--168 / printed 133--156	Weighted Inequalities	complete	complete	complete	passed	passed: 3 XeLaTeX passes		tex/chapters/chapter-07.tex
chapter-08	PDF 169--206 / printed 157--194	Littlewood--Paley Theory and Multipliers	pending	pending	pending	pending	pending		tex/chapters/chapter-08.tex
chapter-09	PDF 207--228 / printed 195--216	The T1 Theorem	pending	pending	pending	pending	pending	announced source tail absent after printed 216	tex/chapters/chapter-09.tex
frontmatter	PDF 1--12 / roman	Title, Contents, Preface, and Preliminaries	pending	pending	pending	pending	pending		tex/frontmatter.tex
bibliography	absent / announced printed 217	Bibliography	blocked	blocked	blocked	blocked	blocked	source pages absent	
index	absent / announced printed 219	Index	blocked	blocked	blocked	blocked	blocked	source pages absent	
