"Record Type"	"Original Reference"	"Target Object"	"LaTeX Label"	"Command"	"Translation Location"	"Target Location"	"Status"
"target"	""	"section"	"sec:ch3-linear-case"	"label"	"tex/chapters/chapter-03/section-01.tex:10"	"tex/chapters/chapter-03/section-01.tex:10"	"defined"
"target"	""	"subsection"	"subsec:ch3-linear-notation"	"label"	"tex/chapters/chapter-03/section-01.tex:14"	"tex/chapters/chapter-03/section-01.tex:14"	"defined"
"target"	""	"equation"	"eq:ch3-linear-test-space"	"label"	"tex/chapters/chapter-03/section-01.tex:18"	"tex/chapters/chapter-03/section-01.tex:18"	"defined"
"target"	""	"equation"	"eq:ch3-linear-v-space"	"label"	"tex/chapters/chapter-03/section-01.tex:22"	"tex/chapters/chapter-03/section-01.tex:22"	"defined"
"target"	""	"equation"	"eq:ch3-linear-h-space"	"label"	"tex/chapters/chapter-03/section-01.tex:28"	"tex/chapters/chapter-03/section-01.tex:28"	"defined"
"target"	""	"equation"	"eq:ch3-linear-v-inner-product"	"label"	"tex/chapters/chapter-03/section-01.tex:33"	"tex/chapters/chapter-03/section-01.tex:33"	"defined"
"target"	""	"equation"	"eq:ch3-linear-gelfand-triple"	"label"	"tex/chapters/chapter-03/section-01.tex:40"	"tex/chapters/chapter-03/section-01.tex:40"	"defined"
"target"	""	"equation"	"eq:ch3-linear-duality-inner-product"	"label"	"tex/chapters/chapter-03/section-01.tex:48"	"tex/chapters/chapter-03/section-01.tex:48"	"defined"
"target"	""	"equation"	"eq:ch3-linear-form-on-v"	"label"	"tex/chapters/chapter-03/section-01.tex:53"	"tex/chapters/chapter-03/section-01.tex:53"	"defined"
"target"	""	"equation"	"eq:ch3-linear-operator-a"	"label"	"tex/chapters/chapter-03/section-01.tex:59"	"tex/chapters/chapter-03/section-01.tex:59"	"defined"
"target"	""	"equation"	"eq:ch3-linear-unbounded-v-inner-product"	"label"	"tex/chapters/chapter-03/section-01.tex:66"	"tex/chapters/chapter-03/section-01.tex:66"	"defined"
"target"	""	"equation"	"eq:ch3-linear-bochner-lp-norm"	"label"	"tex/chapters/chapter-03/section-01.tex:73"	"tex/chapters/chapter-03/section-01.tex:73"	"defined"
"target"	""	"equation"	"eq:ch3-linear-bochner-linfty-norm"	"label"	"tex/chapters/chapter-03/section-01.tex:78"	"tex/chapters/chapter-03/section-01.tex:78"	"defined"
"target"	""	"equation"	"eq:ch3-linear-continuous-function-norm"	"label"	"tex/chapters/chapter-03/section-01.tex:85"	"tex/chapters/chapter-03/section-01.tex:85"	"defined"
"target"	""	"equation"	"eq:ch3-linear-condensed-lp-notation"	"label"	"tex/chapters/chapter-03/section-01.tex:91"	"tex/chapters/chapter-03/section-01.tex:91"	"defined"
"target"	""	"equation"	"eq:ch3-linear-condensed-c-notation"	"label"	"tex/chapters/chapter-03/section-01.tex:95"	"tex/chapters/chapter-03/section-01.tex:95"	"defined"
"target"	""	"lemma"	"lem:ch3-linear-banach-valued-derivative"	"label"	"tex/chapters/chapter-03/section-01.tex:102"	"tex/chapters/chapter-03/section-01.tex:102"	"defined"
"target"	""	"equation"	"eq:ch3-linear-banach-primitive"	"label"	"tex/chapters/chapter-03/section-01.tex:110"	"tex/chapters/chapter-03/section-01.tex:110"	"defined"
"target"	""	"equation"	"eq:ch3-linear-banach-weak-derivative"	"label"	"tex/chapters/chapter-03/section-01.tex:118"	"tex/chapters/chapter-03/section-01.tex:118"	"defined"
"target"	""	"equation"	"eq:ch3-linear-banach-scalar-distribution"	"label"	"tex/chapters/chapter-03/section-01.tex:124"	"tex/chapters/chapter-03/section-01.tex:124"	"defined"
"target"	""	"equation"	"eq:ch3-linear-scalar-integration-by-parts"	"label"	"tex/chapters/chapter-03/section-01.tex:138"	"tex/chapters/chapter-03/section-01.tex:138"	"defined"
"target"	""	"equation"	"eq:ch3-linear-primitive-u-zero"	"label"	"tex/chapters/chapter-03/section-01.tex:153"	"tex/chapters/chapter-03/section-01.tex:153"	"defined"
