Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		section	sec:ch3-existence-uniqueness	label	tex/chapters/chapter-03/section-03.tex:3	tex/chapters/chapter-03/section-03.tex:3	defined
target		subsection	subsec:ch3-existence-theorem	label	tex/chapters/chapter-03/section-03.tex:9	tex/chapters/chapter-03/section-03.tex:9	defined
target		equation	eq:ch3-existence-trilinear-form	label	tex/chapters/chapter-03/section-03.tex:15	tex/chapters/chapter-03/section-03.tex:15	defined
target		equation	eq:ch3-existence-skew-cancellation	label	tex/chapters/chapter-03/section-03.tex:21	tex/chapters/chapter-03/section-03.tex:21	defined
target		equation	eq:ch3-existence-bilinear-operator	label	tex/chapters/chapter-03/section-03.tex:27	tex/chapters/chapter-03/section-03.tex:27	defined
target		equation	eq:ch3-existence-nonlinear-operator	label	tex/chapters/chapter-03/section-03.tex:33	tex/chapters/chapter-03/section-03.tex:33	defined
target		equation	eq:ch3-existence-classical-momentum	label	tex/chapters/chapter-03/section-03.tex:42	tex/chapters/chapter-03/section-03.tex:42	defined
target		equation	eq:ch3-existence-classical-incompressibility	label	tex/chapters/chapter-03/section-03.tex:46	tex/chapters/chapter-03/section-03.tex:46	defined
target		equation	eq:ch3-existence-classical-boundary	label	tex/chapters/chapter-03/section-03.tex:50	tex/chapters/chapter-03/section-03.tex:50	defined
target		equation	eq:ch3-existence-classical-initial	label	tex/chapters/chapter-03/section-03.tex:54	tex/chapters/chapter-03/section-03.tex:54	defined
target		equation	eq:ch3-existence-classical-variational	label	tex/chapters/chapter-03/section-03.tex:61	tex/chapters/chapter-03/section-03.tex:61	defined
target		unknown	prob:ch3-weak-variational	label	tex/chapters/chapter-03/section-03.tex:68	tex/chapters/chapter-03/section-03.tex:68	defined
target		equation	eq:ch3-existence-force-assumption	label	tex/chapters/chapter-03/section-03.tex:72	tex/chapters/chapter-03/section-03.tex:72	defined
target		equation	eq:ch3-existence-initial-assumption	label	tex/chapters/chapter-03/section-03.tex:76	tex/chapters/chapter-03/section-03.tex:76	defined
target		equation	eq:ch3-existence-weak-solution-space	label	tex/chapters/chapter-03/section-03.tex:81	tex/chapters/chapter-03/section-03.tex:81	defined
target		equation	eq:ch3-existence-weak-variational-equation	label	tex/chapters/chapter-03/section-03.tex:87	tex/chapters/chapter-03/section-03.tex:87	defined
target		equation	eq:ch3-existence-weak-initial-condition	label	tex/chapters/chapter-03/section-03.tex:91	tex/chapters/chapter-03/section-03.tex:91	defined
target		lemma	lem:ch3-existence-bu-integrability	label	tex/chapters/chapter-03/section-03.tex:100	tex/chapters/chapter-03/section-03.tex:100	defined
target		equation	eq:ch3-existence-bu-pointwise-bound	label	tex/chapters/chapter-03/section-03.tex:115	tex/chapters/chapter-03/section-03.tex:115	defined
